レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限
202606070903020502,2,,,1.3,1.8
202606070903020508,8,,,2.4,3.8
202606070903020507,7,,,22.7,37.8
202606070903020506,6,,,3.0,4.9
202606070903020501,1,,,8.7,14.5
202606070903020503,3,,,3.6,5.8
202606070903020408,8, 76, 92,1.9,3.1
202606070903020412,12, 83, 99,1.3,1.8
202606070903020403,3, 81, 98,1.1,1.4
202606070903020407,7, 76, 92,1.4,2.3
202606070903020410,10, 63, 79,6.0,10.7
202606070903020401,1, 65, 83,1.9,3.2
202606070903020415,15,,,6.9,12.5
202606070903020405,5, 59, 75,14.5,26.7
202606070903020402,2, 74, 91,6.4,11.6
202606070903020409,9, 63, 81,11.7,21.5
202606070903020404,4, 66, 82,15.5,28.5
202606070903020413,13,,,24.8,46.1
202606070903020416,16, 75, 90,3.1,5.4
202606070903020406,6, 80, 85,12.6,23.1
202606070903020411,11, 31, 48,27.4,50.9
202606070903020414,14, 61, 78,25.9,48.0
202606070903020302,2, 81, 99,1.3,1.7
202606070903020305,5, 75, 93,2.2,3.4
202606070903020304,4, 81, 99,1.3,1.9
202606070903020306,6, 81, 99,1.3,1.8
202606070903020303,3, 72, 90,10.0,16.4
202606070903020316,16, 65, 83,4.4,7.1
202606070903020308,8, 61, 79,28.2,47.0
202606070903020307,7, 63, 82,2.0,3.1
202606070903020301,1, 70, 88,13.2,21.8
202606070903020313,13, 67, 85,8.9,14.6
202606070903020315,15, 72, 91,9.9,16.4
202606070903020309,9, 53, 71,25.1,41.9
202606070903020312,12, 76, 94,2.4,3.7
202606070903020311,11,,,26.9,44.8
202606070903020310,10,,,32.0,53.5
202606070903020314,14,,,48.2,80.6
202606070903020210,10, 79, 97,1.6,2.1
202606070903020205,5, 72, 91,2.0,2.8
202606070903020203,3, 71, 90,2.5,3.5
202606070903020215,15, 81, 98,1.7,2.2
202606070903020212,12, 77, 96,2.0,2.7
202606070903020206,6, 69, 86,19.5,28.4
202606070903020209,9, 80, 98,1.7,2.3
202606070903020207,7, 80, 98,4.3,6.1
202606070903020201,1, 69, 84,38.6,56.3
202606070903020208,8, 70, 89,16.7,24.3
202606070903020214,14, 55, 74,68.0,99.3
202606070903020204,4, 63, 82,53.2,77.6
202606070903020211,11,,,3.1,4.2
202606070903020202,2, 64, 82,42.9,62.6
202606070903020213,13, 33, 51,4.0,5.6
202606070903020105,5,,,1.4,2.5
202606070903020113,13,,,5.0,9.9
202606070903020102,2,,,1.1,1.4
202606070903020107,7,,,3.8,7.5
202606070903020112,12,,,29.5,61.2
202606070903020106,6,,,4.6,9.2
202606070903020103,3,,,1.3,2.1
202606070903020109,9,,,6.3,12.7
202606070903020110,10,,,1.1,1.6
202606070903020108,8,,,22.3,46.2
202606070903020114,14, 76, 69,5.1,10.2
202606070903020104,4,,,18.1,37.4
202606070903020111,11,,,14.5,29.9
202606070903020101,1, 76, 86,16.5,34.0
202606060503011210,10,100,105,1.1,1.1
202606060503011216,16, 76, 86,2.4,11.3
202606060503011206,6, 88, 98,1.6,6.9
202606060503011202,2, 84, 90,1.9,8.4
202606060503011205,5, 85, 95,1.7,7.1
202606060503011203,3, 77, 87,5.4,27.7
202606060503011209,9, 84, 90,2.1,9.6
202606060503011208,8, 76, 86,21.9,118.9
202606060503011212,12, 73, 83,24.8,134.8
202606060503011215,15, 73, 82,31.4,171.3
202606060503011213,13, 74, 84,5.9,30.4
202606060503011214,14, 82, 91,4.3,21.4
202606060503011201,1, 69, 78,31.3,171.2
202606060503011211,11, 81, 86,28.4,155.0
202606060503011204,4, 78, 87,5.0,25.4
202606060503011207,7, 61, 70,34.0,186.1
202606060503011109,9,100,100,1.2,1.7
202606060503011112,12,102,102,1.1,1.3
202606060503011108,8,102, 95,3.4,6.5
202606060503011115,15, 72, 66,5.4,10.7
202606060503011105,5, 99, 99,2.2,4.0
202606060503011110,10, 95, 89,5.8,11.5
202606060503011101,1, 99, 93,3.4,6.4
202606060503011114,14, 96, 92,5.8,11.4
202606060503011103,3, 92, 85,16.3,33.0
202606060503011106,6,103, 97,1.8,3.2
202606060503011113,13, 92, 86,9.8,19.7
202606060503011111,11, 96, 90,14.1,28.6
202606060503011116,16, 97, 93,5.0,9.7
202606060503011107,7, 98, 98,5.3,10.5
202606060503011104,4, 96, 93,2.6,4.9
202606060503011102,2, 88, 81,,
202606060503011006,6, 97,102,2.2,3.5
202606060503011004,4, 99, 83,1.2,1.4
202606060503011002,2, 89, 89,28.9,51.0
202606060503011001,1, 93,102,4.3,7.2
202606060503011016,16, 98, 98,3.6,6.1
202606060503011008,8, 86, 86,18.4,32.3
202606060503011009,9, 98, 98,1.9,3.0
202606060503011015,15, 95, 95,2.9,4.8
202606060503011013,13, 81, 81,24.2,42.7
202606060503011010,10, 91,100,2.4,3.8
202606060503011017,17, 95, 95,4.1,6.9
202606060503011011,11, 95,100,1.6,2.3
202606060503011003,3, 84, 84,16.9,29.8
202606060503011007,7, 83, 83,32.6,57.6
202606060503011014,14, 84, 83,6.6,11.4
202606060503011012,12, 94, 94,6.9,11.9
202606060503011005,5, 81, 77,10.5,18.3
202606060503010908,8, 96,102,1.3,2.3
202606060503010910,10, 95, 89,1.1,1.3
202606060503010909,9, 89, 97,2.7,5.1
202606060503010905,5, 91, 99,3.8,7.6
202606060503010912,12, 94, 99,1.1,1.7
202606060503010903,3, 80, 98,3.2,6.4
202606060503010901,1, 88, 96,4.6,9.3
202606060503010911,11, 86, 94,10.6,22.1
