レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,重,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1200m:1着,ダート1200m:2着,ダート1200m:3着,ダート1200m:外,ダート1200m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全芝:1着,全芝:2着,全芝:3着,全芝:外,全芝:連対率,芝2000m:1着,芝2000m:2着,芝2000m:3着,芝2000m:外,芝2000m:連対率,中山・芝:1着,中山・芝:2着,中山・芝:3着,中山・芝:外,中山・芝:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,エリュグレイス,,牝,3,*,横山和生,55,,2.2,464,- 4,0,2,0,0,100.0,,,,,,0,2,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,,2.00.0
1,,2,,,,,アリアファブラ,,牝,3,*,丹内祐次,55,,58.8,410,- 2,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
2,,3,,,,,チョコスコーン,,牝,3,*,菊沢一樹,55,,234.8,400,-12,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,(未)
2,,4,,,,,カサナルキセキ,,牝,3,,石橋脩,55,,264.6,460,+ 2,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,3,0.0,0,0,0,2,0.0,,,,,,,,,,,0,0,0,2,0.0,,2.03.0
3,,5,,,,,コンフィグシス,,牝,3,,丸田恭介,55,,91.6,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
3,,6,,,,,シルバープレミア,,牝,3,,横山典弘,55,,38.5,384,-12,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,2.05.5
4,,7,,,,,オーブレーヌ,,牝,3,,石神深道,52,▲,134.1,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
4,B,8,,,,,コスモナエマ,,牝,3,*,津村明秀,55,,20.8,480,- 6,0,1,0,2,33.3,0,0,0,2,0.0,0,1,0,2,33.3,0,1,0,2,33.3,,,,,,,,,,,0,1,0,1,50.0,,2.02.3
5,,9,,,,,サムシングスイート,,牝,3,*,岩田望来,55,,2.8,494,- 4,0,2,1,1,50.0,,,,,,0,2,1,1,50.0,0,1,0,0,100.0,0,1,0,1,50.0,0,1,0,0,100.0,0,2,0,1,66.7,,2.00.7
5,,10,,,,,クレアノア,,牝,3,,戸崎圭太,55,,8.0,408,+ 2,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
6,,11,,,,,トパーズテソーロ,,牝,3,,原優介,55,,216.7,446,- 4,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,(未)
6,,12,,,,,イバラヒメ,,牝,3,*,小林美駒,52,▲,182.2,450,+ 2,0,0,0,2,0.0,,,,,,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,(未)
7,,13,,,,,ヴェニゼロス,,牝,3,,舟山瑠泉,52,▲,70.6,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
7,,14,,,,,ファンシーシェイプ,,牝,3,*,丸山元気,55,,242.8,444,+ 2,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
7,,15,,,,,メジロピオラ,,牝,3,*,三浦皇成,55,,16.3,474,+ 4,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,2.03.6
8,,16,,,,,ライトハウス,,牝,3,*,田辺裕信,55,,168.9,462,-12,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,(未)
8,,17,,,,,アジャイブ,,牝,3,,石田拓郎,52,▲,668.4,456,- 4,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,(未)
8,,18,,,,,セシルブリュネ,,牝,3,,横山武史,55,,8.8,396,+10,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0,0.0,,,,,,,2.02.3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020307,2026.3.7,土,中山,2中3,7,,1勝,ダート,1200,,2,重,晴,16,13:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1200m:1着,ダート1200m:2着,ダート1200m:3着,ダート1200m:外,ダート1200m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
