レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010201,2026.4.12,日,福島,1福2,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
8,,14,,,,,デルマカイモン,,牡,3,3,3,21,中山,D,1800,良,4,13,未勝利,39.8,先行,6,2,7,東京,D,1600,良,11,13,未勝利,39.1,中団,2,1,25,中山,D,1800,良,9,11,新馬,41.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ブルーミーティア,,牡,3,9,2,8,小倉,D,1700,良,15,1,未勝利,44.0,逃げ,8,12,14,中京,D,1400,稍,7,10,未勝利*,38.7,中団,2,11,30,東京,D,1400,良,5,3,未勝利*,38.3,先行,2,11,16,東京,D,1400,良,2,1,未勝利*,37.9,逃げ,8,9,20,中山,D,1800,重,6,1,未勝利*,42.6,逃げ,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010204,2026.4.12,日,福島,1福2,4,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,11:10,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ビサイレント,,牝,3,10,2,1,小倉,D,1700,良,15,11,未勝利,42.5,先行,5,12,28,阪神,D,1400,良,11,6,新馬,40.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ムーンシェイド,,牝,3,17,12,14,中山,T,1200,良,8,7,未勝利*,35.9,中団,3,11,24,東京,T,1400,良,5,5,新馬,34.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ブルーハーツ,,牡,3,9,2,7,小倉,T,1200,良,7,17,未勝利,34.5,後方,4,1,10,中山,T,1600,良,14,14,未勝利,36.5,先行,11,10,26,新潟,T,1600,稍,9,10,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ユーベルジーク,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,シュンポシオン,,牡,3,21,11,15,東京,D,1600,良,12,11,未勝利*,40.9,中団,連,11,8,東京,D,1300,良,9,7,新馬,37.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
