レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010501,2026.5.16,土,新潟,1新5,1,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),15,10:05,,馬齢,３歳
1,,1,,,,,アカウフリューゲル,,牝,3,11,3,1,小倉,T,1200,良,13,11,未勝利,36.8,逃げ,9,12,27,阪神,D,1200,稍,12,5,未勝利*,39.5,先行,2,12,14,阪神,T,1400,稍,7,8,新馬,36.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,セイウンプーパ,,牝,3,3,4,25,福島,T,1200,良,4,14,未勝利,35.3,先行,8,2,28,小倉,T,1200,稍,11,15,未勝利,36.5,先行,11,12,14,中山,T,1200,良,7,11,未勝利*,36.2,先行,5,11,9,東京,T,1400,良,17,8,未勝利*,36.2,先行,8,9,15,中山,T,1600,良,6,9,新馬,34.9,先行,初
2,,3,,,,,ユアベストダンサー,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,トーアアグネス,,牝,3,11,3,1,小倉,T,1200,良,17,18,未勝利,37.2,後方,11,12,13,阪神,D,1400,良,15,13,未勝利・牝*,40.5,後方,3,11,22,京都,T,1200,良,9,15,未勝利*,36.0,中団,8,9,28,阪神,T,1400,良,12,11,新馬,36.0,先行,初,,,,,,,,,,,,
3,,5,,,,,マルカスマッシュ,,牡,3,15,1,31,京都,T,1600,良,14,15,未勝利,37.3,後方,4,1,5,京都,D,1200,良,10,10,新馬,38.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,イヌボウノシオカゼ,,牝,3,12,2,22,東京,D,1400,良,13,5,新馬,43.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ツトムユニバース,,セ,3,11,3,1,小倉,D,1000,稍,14,7,未勝利,38.2,中団,4,2,1,小倉,T,1200,良,4,14,未勝利,35.1,逃げ,27,7,26,新潟,D,1200,良,7,5,未勝利*,41.2,先行,3,7,6,福島,T,1200,良,7,7,新馬,36.8,逃げ,初,,,,,,,,,,,,
4,,8,,,,,メーレスブリーゼ,,牝,3,11,2,28,小倉,T,1200,稍,12,17,未勝利,35.7,後方,13,11,29,東京,T,1400,良,14,8,未勝利*,35.0,後方,3,11,8,東京,T,1400,良,5,10,新馬,33.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,B,9,,,,,チャーミングアイ,,牝,3,18,1,10,中山,D,1200,良,13,13,未勝利・牝,39.1,後方,2,12,27,中山,D,1200,稍,8,13,未勝利・牝*,38.9,先行,6,11,16,福島,D,1150,良,12,14,未勝利*,39.0,後方,7,9,28,中山,D,1800,良,12,10,未勝利*,46.2,後方,3,9,6,中山,D,1200,稍,11,5,新馬,40.8,中団,初
5,,10,,,,,シュタルク,,牡,3,11,3,1,小倉,T,1200,良,16,10,未勝利,37.0,中団,12,12,6,阪神,D,1200,良,16,10,未勝利*,42.6,先行,2,11,23,東京,D,1300,良,13,6,未勝利*,39.4,逃げ,15,8,9,中京,T,1200,良,4,4,未勝利*,34.8,差し,3,7,19,小倉,T,1200,良,5,3,新馬,37.3,先行,初
6,,11,,,,,ジョイアミーア,,牝,3,連,5,10,新潟,T,1000,良,3,1,未勝利,33.1,差し,15,1,24,中山,D,1200,良,10,3,未勝利・牝,39.2,逃げ,17,9,28,中山,D,1200,良,4,1,新馬,37.5,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ラブミーアゲイン,,牝,3,28,11,1,東京,T,1400,稍,12,12,未勝利*,34.9,先行,連,10,26,東京,T,1400,稍,18,15,新馬,35.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,コンフィアンサ,,牝,3,連,5,10,新潟,T,1000,良,2,2,未勝利,33.3,先行,3,4,19,福島,T,1200,良,2,1,未勝利,34.5,逃げ,9,2,15,小倉,T,1200,稍,4,6,未勝利,36.0,先行,2,1,31,小倉,T,1200,良,3,10,未勝利・若,34.8,逃げ,10,11,24,東京,T,1400,良,9,8,未勝利*,35.0,中団,2
7,B,14,,,,,クールフィールド,,牝,3,18,1,12,中山,D,1200,良,14,8,未勝利,40.0,中団,3,12,21,中山,D,1200,不,4,5,未勝利*,37.8,先行,連,12,13,中山,D,1200,良,4,8,未勝利・牝*,39.8,先行,9,10,11,東京,D,1300,良,11,8,未勝利*,38.4,後方,3,9,20,中山,T,1200,良,9,4,新馬,35.4,中団,初
8,,15,,,,,ミルトメロディー,,牝,3,連,5,10,新潟,T,1000,良,5,14,未勝利,33.6,中団,18,1,4,中山,D,1200,稍,10,10,未勝利・牝,40.6,中団,7,11,16,東京,T,1400,良,12,18,未勝利・牝*,36.3,先行,5,10,13,東京,T,1600,良,13,12,新馬・牝,36.4,先行,初,,,,,,,,,,,,
8,B,16,,,,,リュウセイコウテイ,,牡,3,11,2,28,小倉,T,1200,稍,8,12,未勝利,36.2,先行,9,12,28,中山,T,1200,良,7,8,未勝利*,35.5,中団,12,10,5,東京,T,1400,良,14,6,未勝利*,35.5,中団,3,9,14,中山,T,1200,良,4,12,未勝利*,35.0,逃げ,5,8,10,新潟,T,1400,稍,16,17,未勝利*,37.0,中団,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010507,2026.5.16,土,新潟,1新5,7,,1勝,ダート,1200,,2,良(暫定),晴(暫定),15,13:25,牝,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,フルドド,,牝,4,2,5,3,新潟,D,1200,稍,6,1,１勝ｸﾗｽ,37.4,先行,6,3,22,中京,D,1200,良,2,2,１勝ｸﾗｽ,36.7,先行,連,3,14,中京,D,1200,良,3,2,１勝ｸﾗｽ,36.6,差し,14,12,7,中京,D,1200,良,2,6,１勝ｸﾗｽ,36.4,差し,8,10,13,京都,D,1400,良,15,11,１勝ｸﾗｽ・牝,39.7,中団,5
2,,2,,,,,マダムイグレイン,,牝,4,7,3,31,園田,D,1400,稍,1,1,チュー,----,逃げ,3,3,11,姫路,D,1400,良,1,1,Ｃ１二,----,逃げ,連,2,26,姫路,D,1400,重,1,1,Ｃ３一,----,逃げ,16,11,12,園田,D,1400,稍,2,2,Ｃ２二,----,先行,4,10,10,園田,D,1400,良,外,--,Ｃ２一,----,,4
3,,3,,,,,ペイシャマリーン,,牝,4,4,4,18,福島,D,1150,良,10,1,１勝ｸﾗｽ・牝,38.5,逃げ,7,3,1,中山,D,1200,稍,9,4,１勝ｸﾗｽ,38.5,逃げ,48,3,30,中山,D,1200,稍,15,2,１勝ｸﾗｽ*,39.3,先行,3,3,9,中山,D,1200,重,2,4,１勝ｸﾗｽ*,37.4,先行,7,1,18,中山,D,1200,良,1,1,未勝利,37.8,先行,連
4,,4,,,,,クインズシャウラ,,牝,5,11,3,1,阪神,D,1200,良,6,5,１勝ｸﾗｽ・牝,36.6,中団,2,2,14,京都,D,1200,稍,4,7,１勝ｸﾗｽ,36.7,差し,9,12,13,中京,D,1200,良,7,6,１勝ｸﾗｽ・牝,36.5,後方,7,10,25,新潟,D,1200,良,3,9,１勝ｸﾗｽ・牝,36.7,差し,4,9,28,阪神,D,1200,良,12,14,１勝ｸﾗｽ,36.9,後方,18
4,,5,,,,,ガールネクストドア,,牝,4,11,3,1,中山,D,1200,稍,12,14,１勝ｸﾗｽ,38.0,後方,16,11,8,東京,D,1300,良,15,13,１勝ｸﾗｽ,38.2,後方,2,10,25,新潟,D,1200,良,5,7,１勝ｸﾗｽ・牝,37.3,中団,6,9,13,中山,D,1200,不,13,7,１勝ｸﾗｽ,37.1,中団,3,8,24,新潟,D,1200,良,4,8,１勝ｸﾗｽ,36.8,差し,3
5,,6,,,,,パーティーガール,,牝,4,12,2,21,東京,D,1400,良,15,10,１勝ｸﾗｽ,39.2,中団,7,1,1,川崎,D,1400,稍,1,2,初詣賞,----,逃げ,3,12,15,川崎,D,1400,重,1,1,ベルリ,----,逃げ,4,11,19,川崎,D,1400,良,1,1,サラ系,----,逃げ,5,10,15,川崎,D,1400,稍,1,1,長谷賞,----,逃げ,10
5,,7,,,,,トルティーナ,,牝,4,13,2,15,東京,D,1400,良,14,12,１勝ｸﾗｽ,38.7,中団,7,12,27,佐賀,D,1400,重,1,2,Ｃ２－,----,逃げ,5,11,23,佐賀,D,1400,良,1,2,Ｃ２－,----,逃げ,2,11,7,佐賀,D,1300,良,1,1,Ｃ２－,----,先行,2,10,26,佐賀,D,1300,良,2,2,ＳＡＧ,----,逃げ,6
6,,8,,,,,ヴィヴァラリス,,牝,4,16,1,24,中山,D,1200,良,16,14,１勝ｸﾗｽ,39.8,後方,10,11,15,福島,T,1200,良,14,16,１勝ｸﾗｽ・若,35.3,後方,10,9,7,中山,T,1200,良,16,13,１勝ｸﾗｽ,33.8,後方,4,8,10,札幌,T,1200,良,11,12,１勝ｸﾗｽ・牝,35.5,後方,3,7,19,函館,T,1200,良,13,7,１勝ｸﾗｽ,34.9,後方,8
6,B,9,,,,,シャンハイナイト,,牝,4,連,5,10,新潟,D,1200,良,14,3,１勝ｸﾗｽ・若,39.2,中団,4,4,12,中山,D,1200,良,10,3,１勝ｸﾗｽ・牝,36.8,後方,4,3,15,中山,D,1200,良,3,6,１勝ｸﾗｽ・牝,38.1,逃げ,7,1,24,中山,D,1800,良,9,3,１勝ｸﾗｽ・牝,40.9,逃げ,12,11,1,東京,D,1400,重,8,9,１勝ｸﾗｽ・牝,38.0,逃げ,連
7,,10,,,,,オッシレイション,,牝,4,9,3,15,中京,D,1400,良,16,14,１勝ｸﾗｽ・牝,37.7,後方,14,12,5,名古,D,1500,良,1,2,大入川,----,先行,8,10,15,名古,D,1500,重,2,1,Ｃ１５,----,差し,3,9,18,名古,D,1500,良,1,1,３歳１,----,先行,4,8,22,名古,D,1500,良,3,1,３歳１,----,先行,10
7,,11,,,,,アルヘンティニータ,,牝,5,4,4,18,福島,D,1150,良,4,6,１勝ｸﾗｽ・牝,36.6,差し,10,2,8,小倉,D,1000,良,8,9,１勝ｸﾗｽ,36.8,中団,11,11,22,福島,D,1150,良,3,9,１勝ｸﾗｽ,37.3,差し,2,11,8,福島,D,1150,良,4,15,１勝ｸﾗｽ・牝,37.5,先行,24,5,25,新潟,D,1200,稍,15,12,１勝ｸﾗｽ・牝,39.0,後方,4
8,,12,,,,,オースミライト,,牝,4,6,4,4,阪神,D,1200,稍,9,14,１勝ｸﾗｽ,37.4,中団,連,3,28,中京,D,1400,稍,8,13,１勝ｸﾗｽ,37.7,先行,22,10,26,京都,D,1800,重,11,11,１勝ｸﾗｽ・牝,38.4,中団,2,10,13,京都,D,1200,良,15,15,１勝ｸﾗｽ,37.4,後方,14,7,6,小倉,D,1000,良,9,7,１勝ｸﾗｽ,36.2,中団,8
8,,13,,,,,アルバニー,,牝,5,8,3,21,阪神,D,1200,良,15,8,１勝ｸﾗｽ,37.6,中団,3,3,1,阪神,D,1200,良,5,4,１勝ｸﾗｽ・牝,37.1,先行,18,10,25,新潟,D,1200,良,5,8,１勝ｸﾗｽ,37.1,先行,連,10,18,京都,T,1400,良,13,10,１勝ｸﾗｽ,34.8,中団,21,5,25,京都,T,1400,重,6,12,１勝ｸﾗｽ,34.8,先行,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010508,2026.5.16,土,新潟,1新5,8,,1勝,ダート,1800,,4,良(暫定),晴(暫定),15,14:00,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ボーヌロマネ,,牡,4,2,5,3,東京,D,1600,稍,11,13,１勝ｸﾗｽ,36.8,後方,16,1,11,中山,D,1800,良,14,6,１勝ｸﾗｽ,39.6,後方,8,11,13,大井,D,1650,稍,1,1,ぎょし,----,先行,4,10,21,大井,D,1600,稍,1,2,メリー,----,差し,9,8,16,中京,D,1400,良,7,4,未勝利,37.7,後方,9
2,,2,,,,,オウケンベリー,,牝,5,2,5,2,東京,D,1400,重,9,14,１勝ｸﾗｽ,36.3,中団,37,8,17,新潟,D,1200,良,13,11,１勝ｸﾗｽ,38.2,後方,68,4,28,京都,D,1400,良,4,9,１勝ｸﾗｽ*,37.5,追込,3,4,6,阪神,D,1800,稍,11,12,１勝ｸﾗｽ*,39.6,後方,10,1,28,京都,D,1400,良,5,12,１勝ｸﾗｽ・牝*,37.5,後方,3
3,,3,,,,,キングプロフィット,,牡,5,5,4,11,福島,D,1700,良,8,15,１勝ｸﾗｽ・若,38.6,中団,2,3,29,中山,D,1200,稍,12,16,１勝ｸﾗｽ,37.2,後方,2,3,14,中山,D,1200,良,12,16,１勝ｸﾗｽ,37.0,後方,13,12,13,中山,D,1200,良,15,13,１勝ｸﾗｽ,38.1,後方,36,4,5,中山,D,1200,稍,11,13,１勝ｸﾗｽ,36.5,後方,3
4,,4,,,,,ファーマシャイン,,牝,5,連,5,9,新潟,D,1800,稍,14,15,１勝ｸﾗｽ・牝,41.9,後方,6,3,28,中山,D,1800,重,8,13,１勝ｸﾗｽ・牝,40.4,中団,3,3,7,中山,D,1800,重,11,11,１勝ｸﾗｽ,39.2,後方,19,10,28,門別,D,1800,稍,6,2,浦臼に,----,先行,2,10,14,門別,D,1700,稍,2,3,ホクレ,----,先行,連
5,B,5,,,,,ダノンヴェステル,,牡,4,10,3,7,阪神,D,1800,稍,3,1,１勝ｸﾗｽ,36.6,先行,17,11,9,東京,D,1600,稍,10,3,１勝ｸﾗｽ,38.2,先行,16,7,19,小倉,D,1700,重,2,1,１勝ｸﾗｽ,36.3,先行,2,7,6,小倉,D,1700,良,2,2,１勝ｸﾗｽ,37.8,先行,19,2,23,京都,D,1900,良,2,2,１勝ｸﾗｽ*,37.6,先行,9
6,,6,,,,,ソナタン,,牡,4,2,5,2,東京,D,1400,重,7,1,１勝ｸﾗｽ,36.8,先行,10,2,21,東京,D,1600,良,14,3,１勝ｸﾗｽ,37.0,中団,15,11,9,東京,D,1600,稍,6,1,１勝ｸﾗｽ,37.6,先行,3,10,18,東京,D,1600,良,2,2,１勝ｸﾗｽ,37.9,逃げ,10,8,9,新潟,D,1800,良,1,1,未勝利,38.1,逃げ,4
7,,7,,,,,ザラタン,,牝,4,3,4,26,福島,D,1700,良,8,4,１勝ｸﾗｽ・牝,37.6,中団,9,2,22,小倉,T,1200,良,11,8,１勝ｸﾗｽ・牝,33.9,後方,11,12,6,阪神,T,1600,良,8,6,１勝ｸﾗｽ,33.9,中団,5,11,1,京都,T,1600,良,8,9,１勝ｸﾗｽ,33.2,後方,3,10,11,京都,T,1800,良,10,6,１勝ｸﾗｽ・牝,35.3,先行,16
8,,8,,,,,イーサンハンター,,牡,5,2,5,2,京都,D,1400,稍,6,8,１勝ｸﾗｽ,37.8,先行,6,3,19,園田,D,1400,重,2,9,藻川特,----,逃げ,32,8,9,中京,D,1400,良,7,13,１勝ｸﾗｽ,37.5,後方,12,5,17,京都,D,1400,不,10,12,１勝ｸﾗｽ,36.1,後方,3,4,27,京都,D,1800,良,10,12,１勝ｸﾗｽ,37.8,後方,19
8,,9,,,,,ファルコンミノル,,牡,6,6,4,4,中山,D,1800,重,2,3,１勝ｸﾗｽ,36.8,差し,3,3,15,中山,D,1800,良,4,1,１勝ｸﾗｽ,38.5,差し,7,1,25,中山,D,1800,良,2,5,１勝ｸﾗｽ,39.4,差し,2,1,10,中山,D,1800,良,3,7,１勝ｸﾗｽ,38.5,差し,15,9,28,中山,D,1800,良,3,8,１勝ｸﾗｽ,37.9,差し,18
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010509,2026.5.16,土,新潟,1新5,9,石打特別,1勝,芝,1800,B,2,良(暫定),晴(暫定),16,14:35,牝,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,リアルセンター,,牝,5,3,4,25,福島,T,1800,良,9,11,１勝ｸﾗｽ・牝,36.9,先行,2,4,12,福島,T,2000,良,13,11,１勝ｸﾗｽ・若,36.3,中団,6,2,28,小倉,T,2000,稍,7,11,１勝ｸﾗｽ・牝,37.4,中団,2,2,15,小倉,T,2000,稍,14,12,１勝ｸﾗｽ,38.0,先行,72,9,29,中山,T,2200,良,10,8,１勝ｸﾗｽ,35.8,先行,2
1,,2,,,,,ビジュードネージュ,,牝,4,7,3,29,中京,D,1800,良,12,9,１勝ｸﾗｽ・牝,39.7,先行,4,3,1,小倉,D,1700,稍,10,9,１勝ｸﾗｽ・牝,38.7,後方,4,2,1,小倉,D,1700,良,7,9,１勝ｸﾗｽ・牝,37.6,後方,7,12,13,中京,D,1800,良,6,12,１勝ｸﾗｽ・牝,37.4,中団,3,11,22,京都,D,1800,良,9,12,１勝ｸﾗｽ・牝,38.3,先行,10
2,,3,,,,,ソニックドライブ,,牝,5,16,1,25,小倉,T,1800,良,8,12,１勝ｸﾗｽ・牝,36.9,中団,25,8,3,札幌,T,2000,良,4,6,１勝ｸﾗｽ・牝,35.7,先行,3,7,13,函館,T,1800,良,5,5,１勝ｸﾗｽ・牝,34.5,中団,22,2,8,小倉,T,2600,稍,10,3,足立山特･1勝,37.3,中団,8,12,15,京都,T,2200,良,6,14,１勝ｸﾗｽ,35.2,中団,17
2,,4,,,,,ユーディキウム,,牝,4,12,2,21,東京,D,1600,良,16,11,１勝ｸﾗｽ,37.0,後方,14,11,16,東京,T,2000,良,8,8,１勝ｸﾗｽ,35.1,先行,18,7,12,福島,T,2000,良,13,8,１勝ｸﾗｽ,39.1,中団,8,5,18,東京,D,1600,重,11,7,１勝ｸﾗｽ・牝*,38.0,先行,15,2,1,東京,D,1600,良,1,4,未勝利・牝,38.4,先行,12
3,,5,,,,,ジョワイユノエル,,牝,4,7,3,28,中京,T,1600,良,4,3,１勝ｸﾗｽ・牝,33.9,差し,10,1,18,京都,T,1600,良,5,3,１勝ｸﾗｽ,35.5,逃げ,4,12,21,中京,T,1600,稍,5,8,１勝ｸﾗｽ・牝,34.8,後方,15,9,6,阪神,T,1600,良,6,3,１勝ｸﾗｽ,34.7,中団,5,8,2,中京,T,2000,良,11,8,１勝ｸﾗｽ・牝,35.4,先行,8
3,,6,,,,,シェーンシュティア,,牝,4,8,3,22,中京,T,2000,良,7,9,１勝ｸﾗｽ・牝,34.4,中団,17,11,22,福島,T,2000,良,6,8,１勝ｸﾗｽ・牝,34.6,後方,4,10,26,新潟,T,1800,稍,5,4,１勝ｸﾗｽ・牝,34.3,中団,16,7,5,福島,T,2000,良,8,3,伊達特別･1勝,36.6,先行,11,4,19,中山,T,1800,良,3,3,１勝ｸﾗｽ・牝*,33.2,ﾏｸﾘ,13
4,,7,,,,,スピアッジャローザ,,牝,4,連,5,9,新潟,T,1800,良,10,3,粟島特別･1勝,36.1,後方,13,2,8,小倉,T,1800,良,9,7,１勝ｸﾗｽ・若,35.6,後方,10,11,29,東京,T,2400,良,12,4,１勝ｸﾗｽ,35.6,後方,5,10,25,新潟,T,1800,良,3,5,１勝ｸﾗｽ・若,33.2,追込,連,10,18,新潟,T,1800,良,4,12,１勝ｸﾗｽ,33.0,追込,5
4,,8,,,,,クイーンズワーフ,,牝,5,3,4,25,福島,T,1800,良,3,5,１勝ｸﾗｽ・牝,36.6,先行,9,2,21,小倉,T,1800,良,2,7,１勝ｸﾗｽ・牝,36.6,逃げ,2,2,8,小倉,T,1800,良,6,5,１勝ｸﾗｽ・若,36.4,先行,7,12,21,中京,T,1600,稍,7,6,１勝ｸﾗｽ・牝,35.5,中団,2,12,6,中京,T,1600,良,2,12,１勝ｸﾗｽ,34.5,逃げ,6
5,,9,,,,,アレクレア,,牝,4,6,4,3,金沢,D,1400,不,3,1,サラ系,----,先行,3,3,16,金沢,D,1400,稍,1,2,サラ系,----,先行,3,2,20,笠松,D,1600,良,2,2,Ｃ５組,----,先行,3,2,4,笠松,D,1400,良,4,4,如月特,----,差し,連,1,22,笠松,D,1600,良,1,1,南郷克,----,先行,6
5,,10,,,,,ティティナ,,牝,4,10,3,7,中山,T,1600,稍,16,8,１勝ｸﾗｽ,37.8,中団,15,11,22,福島,T,2000,良,14,9,１勝ｸﾗｽ・牝,37.3,先行,9,9,20,中山,T,2000,良,2,4,１勝ｸﾗｽ,35.0,逃げ,21,4,26,福島,T,2000,良,1,10,未勝利・牝,36.8,逃げ,13,1,25,中山,T,1600,良,10,14,未勝利,35.0,中団,初
6,,11,,,,,グランツローゼ,,牝,4,2,5,3,新潟,T,1800,良,5,12,１勝ｸﾗｽ,34.1,後方,11,2,15,東京,T,2400,良,11,14,１勝ｸﾗｽ,34.7,後方,5,1,12,中山,T,2000,良,17,17,１勝ｸﾗｽ,35.4,後方,8,11,16,佐賀,D,1750,良,4,2,ムーン,----,先行,2,11,1,佐賀,D,1750,良,4,3,霜降特,----,差し,2
6,,12,,,,,ルールーリマ,,牝,4,4,4,18,福島,T,2000,良,2,1,桑折特別･1勝,33.7,先行,4,3,21,中京,T,2000,良,3,4,１勝ｸﾗｽ,34.1,差し,4,2,22,小倉,T,2000,良,5,1,１勝ｸﾗｽ,35.4,中団,13,11,22,福島,T,1800,良,4,3,高湯温泉･1勝,34.5,先行,9,9,20,中山,T,2000,良,3,2,１勝ｸﾗｽ,34.2,差し,7
7,,13,,,,,ブルバンビーナ,,牝,4,2,5,2,新潟,T,1600,稍,5,8,１勝ｸﾗｽ,36.5,中団,10,2,21,小倉,T,1800,良,7,10,１勝ｸﾗｽ・牝,35.8,中団,連,2,14,小倉,T,1800,良,5,12,１勝ｸﾗｽ,35.2,中団,8,12,21,中京,T,1600,稍,15,13,１勝ｸﾗｽ・牝,35.8,後方,8,10,25,新潟,T,1400,良,9,11,１勝ｸﾗｽ,35.0,後方,9
7,,14,,,,,キアラメンテ,,牝,4,10,3,7,中山,T,1600,稍,6,5,１勝ｸﾗｽ,36.1,中団,12,12,14,中山,T,1800,稍,7,3,１勝ｸﾗｽ,35.5,中団,14,9,7,中山,T,1600,良,1,1,未勝利,34.6,先行,7,7,20,福島,T,1800,良,3,1,未勝利・牝,35.5,先行,12,4,27,東京,T,1800,良,2,2,未勝利,34.7,先行,9
8,,15,,,,,ウインイルネージュ,,牝,4,2,5,2,新潟,T,1600,稍,8,9,１勝ｸﾗｽ,36.0,後方,12,2,7,小倉,T,2000,稍,8,13,戸畑特別･1勝,36.6,中団,連,1,31,小倉,T,2000,良,11,16,１勝ｸﾗｽ,36.2,後方,11,11,15,福島,T,2600,良,10,15,１勝ｸﾗｽ,37.5,中団,18,7,12,函館,T,2600,良,12,13,未勝利,36.4,後方,3
8,B,16,,,,,ミッドタウンナイト,,牝,4,13,2,15,小倉,T,2000,稍,13,7,１勝ｸﾗｽ,37.4,逃げ,3,1,25,小倉,T,1800,良,9,10,１勝ｸﾗｽ・牝,36.7,後方,38,5,4,新潟,T,1800,稍,1,2,未勝利・牝,36.8,先行,2,4,20,福島,T,2000,良,2,4,未勝利・牝,35.3,逃げ,8,2,22,小倉,T,2000,良,6,6,未勝利・牝,36.6,逃げ,5
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010510,2026.5.16,土,新潟,1新5,10,中ノ岳特別,2勝,ダート,1800,,4,良(暫定),晴(暫定),15,15:10,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アークドール,,牡,5,3,4,26,京都,D,1800,良,3,3,２勝ｸﾗｽ,37.4,差し,3,4,4,阪神,D,1800,稍,1,2,１勝ｸﾗｽ,36.9,差し,3,3,15,中京,D,1800,良,2,3,１勝ｸﾗｽ,36.2,追込,4,2,15,小倉,D,2400,稍,3,2,１勝ｸﾗｽ,38.3,先行,3,1,24,京都,D,1800,良,5,2,１勝ｸﾗｽ,36.8,中団,3
2,,2,,,,,ブレトワルダ,,セ,4,40,8,10,新潟,D,1800,不,1,3,１勝ｸﾗｽ,37.9,先行,4,7,12,福島,D,1700,良,4,2,１勝ｸﾗｽ,38.6,先行,6,5,31,東京,D,1600,不,5,6,１勝ｸﾗｽ*,36.2,後方,6,4,20,中山,D,1800,良,6,9,１勝ｸﾗｽ*,38.6,中団,3,3,30,中山,D,1800,稍,1,1,未勝利,37.8,先行,9
3,B,3,,,,,テルアスワッド,,セ,4,8,3,22,中京,D,1800,良,1,8,１勝ｸﾗｽ,37.0,逃げ,23,10,13,京都,D,1900,良,7,8,１勝ｸﾗｽ,38.3,後方,11,7,26,中京,D,1800,良,6,8,１勝ｸﾗｽ,38.7,中団,4,6,29,小倉,D,1700,良,10,9,１勝ｸﾗｽ,37.8,後方,9,4,26,京都,D,1800,良,12,7,１勝ｸﾗｽ*,45.3,後方,12
