レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,2,,,,,ジワタネホ,,牝,3,3,5,3,新潟,T,1800,良,3,9,未勝利,33.8,差し,14,1,25,中山,T,2000,良,15,11,新馬,36.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ゼータレティクル,,牝,3,12,2,28,中山,T,2000,良,6,10,未勝利,35.6,中団,4,2,1,京都,T,2000,良,6,5,未勝利,35.6,後方,3,1,12,中山,T,2000,良,6,11,未勝利,36.0,中団,11,10,26,東京,T,2000,稍,5,2,未勝利*,37.6,先行,2,10,12,東京,T,2000,良,5,7,未勝利*,34.5,中団,3
2,,4,,,,,ナムラオリガミ,,牝,3,4,4,25,福島,T,2000,良,2,5,未勝利・牝,36.3,先行,8,3,1,小倉,T,2000,良,3,13,未勝利・牝,36.2,差し,3,2,8,小倉,T,1800,良,11,7,未勝利,35.9,後方,15,10,25,京都,T,1400,良,6,11,未勝利・牝*,35.6,中団,2,10,13,京都,T,1600,良,7,10,未勝利・牝*,34.9,中団,13
3,,5,,,,,ショウナンパステル,,牝,3,34,9,28,中山,T,2000,良,13,12,未勝利*,36.0,後方,5,8,24,新潟,T,2000,良,6,13,新馬,36.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,マイネルアルゴー,,牡,3,16,2,1,東京,T,1800,良,13,15,未勝利,35.8,中団,7,12,14,中京,T,2000,稍,13,12,未勝利*,43.5,後方,3,11,24,東京,T,2000,良,10,12,未勝利*,34.7,後方,3,11,2,東京,T,1800,良,8,6,未勝利*,36.2,先行,2,10,19,東京,T,1800,良,11,15,新馬,34.1,中団,初
4,,7,,,,,マサハヤルージュ,,牝,3,3,5,3,新潟,T,2000,稍,3,12,未勝利・牝,36.0,先行,連,4,26,京都,T,1200,良,13,13,未勝利,34.8,中団,6,3,14,中京,D,1200,良,10,5,未勝利,38.7,中団,6,1,31,京都,T,1600,良,8,9,未勝利,36.0,中団,3,1,10,京都,T,1600,良,12,10,未勝利・牝,37.1,先行,13
4,,8,,,,,ヴォンサクレ,,牡,3,4,4,25,福島,T,2000,良,3,9,未勝利,36.2,ﾏｸﾘ,6,3,15,中山,T,2000,良,8,15,未勝利,35.2,後方,4,2,15,東京,T,1800,良,13,7,未勝利,34.5,後方,15,11,2,東京,T,2000,良,5,8,新馬,33.8,中団,初,,,,,,,,,,,,
5,,9,,,,,ジージージェット,,牡,3,2,5,10,京都,T,2000,良,4,5,未勝利,36.3,先行,14,2,1,小倉,T,2000,良,6,13,未勝利,36.2,先行,2,1,18,京都,D,1800,良,11,9,未勝利,40.1,先行,3,12,28,中山,D,1800,良,8,3,新馬,41.8,後方,初,,,,,,,,,,,,
5,,10,,,,,レイヌドプランタン,,牝,3,14,2,15,小倉,T,1800,稍,7,3,未勝利,35.3,中団,12,11,24,福島,T,1800,良,7,11,新馬,34.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ミョンソクコムドリ,,牡,3,29,11,2,東京,T,2000,良,止,9,新馬,----,,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ブルーザー,,牡,3,4,4,26,京都,T,2000,良,5,5,未勝利,36.2,中団,4,3,29,阪神,T,2000,良,4,4,未勝利,35.5,先行,2,3,14,中京,T,2000,良,8,14,未勝利,35.6,中団,7,1,25,京都,D,1800,良,9,6,未勝利,39.0,中団,3,1,4,京都,T,1800,良,8,7,新馬,35.1,中団,初
7,,13,,,,,ダノンミッドナイト,,牡,3,3,5,3,京都,T,2400,良,3,3,未勝利,34.4,差し,8,3,7,阪神,T,2400,稍,4,1,未勝利,34.4,追込,10,12,27,阪神,T,2000,良,4,1,新馬,34.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,キコリータ,,牝,3,3,5,3,新潟,T,2000,稍,4,3,未勝利・牝,35.4,追込,11,2,14,東京,T,1800,良,8,10,未勝利・牝,33.6,後方,9,12,14,中山,T,1600,稍,7,9,新馬,35.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
