レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091306040401,2026.9.13,日,中山,4中4,1,,未勝利,障害(直線ダ),2880,,,重(暫定),曇(暫定),14,10:00,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
6,,12,,,,,キセキノユニコーン,,牡,2,11,6,28,函館,T,1200,良,7,2,未勝利*,37.0,逃げ,2,6,13,函館,T,1200,稍,3,8,新馬,34.9,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,シュネルアステリア,,牝,2,13,6,14,東京,D,1400,稍,11,11,新馬,41.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ヴァンデエス,,牝,2,8,7,19,福島,T,1200,良,16,14,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,セイカタカキヤチク,,牡,2,6,8,1,新潟,T,1400,良,8,14,新馬,36.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,16,,,,,イサチルサリーレ,,牡,2,8,7,18,福島,T,1200,良,7,6,未勝利*,35.9,中団,4,6,21,東京,T,1400,稍,8,4,新馬,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091306040404,2026.9.13,日,中山,4中4,4,,未勝利,芝,1600,B,3,重(暫定),曇(暫定),16,11:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ジャジャミン,,牝,3,12,6,20,阪神,T,1800,稍,外,--,未勝利,----,,6,5,9,京都,T,2000,良,14,6,未勝利・牝,36.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ランウェイミューズ,,牝,3,2,8,29,札幌,T,1500,稍,2,3,未勝利,36.5,追込,2,8,15,札幌,T,1500,良,5,6,未勝利,34.3,中団,4,7,19,福島,T,1800,良,4,4,未勝利,36.0,先行,9,5,16,新潟,T,1600,良,9,6,未勝利,34.8,中団,10,3,8,中山,T,1800,良,3,4,未勝利,36.5,先行,12
2,,3,,,,,ブライティアロード,,牝,3,2,8,29,新潟,D,1200,稍,外,--,未勝利,----,,8,7,5,函館,T,1200,良,10,16,未勝利・牝,34.5,後方,6,5,24,新潟,T,1200,稍,13,11,未勝利,36.5,中団,16,2,1,小倉,T,1200,良,10,5,新馬,34.6,後方,初,,,,,,,,,,,,
2,B,4,,,,,ダイユウルミナス,,牝,3,2,8,29,新潟,T,1400,稍,4,14,１勝ｸﾗｽ,35.4,差し,4,8,1,新潟,T,1200,良,8,11,１勝ｸﾗｽ,35.1,逃げ,2,7,18,福島,T,1200,良,10,2,未勝利,34.5,後方,2,7,5,福島,T,1200,良,2,5,未勝利,34.1,追込,12,4,11,中山,T,1600,良,10,8,未勝利,35.2,中団,8
3,,5,,,,,グランマエストロ,,牡,3,8,7,19,福島,T,1800,良,8,3,未勝利,36.1,ﾏｸﾘ,7,5,31,東京,D,1400,良,6,1,未勝利,38.4,先行,3,5,9,東京,T,1400,良,4,1,未勝利,34.6,差し,2,4,25,東京,T,1400,良,2,1,未勝利,34.2,差し,9,2,21,東京,T,1600,良,3,1,未勝利,34.1,差し,12
3,,6,,,,,ショウナンバーボン,,牡,3,4,8,15,札幌,T,1500,良,4,1,未勝利,34.9,先行,2,8,2,札幌,T,1500,良,2,3,未勝利,35.5,先行,9,5,30,東京,T,1400,良,6,3,未勝利,34.3,中団,2,5,16,新潟,T,1600,良,5,5,未勝利,35.0,先行,4,4,18,中山,T,1600,良,2,4,未勝利,35.2,逃げ,4
4,,7,,,,,ピコプリンセス,,牝,3,3,8,23,新潟,T,1800,良,3,12,未勝利・牝,34.5,差し,2,8,9,新潟,T,1600,良,10,18,未勝利・牝,33.3,後方,26,2,7,東京,T,1800,良,14,9,新馬,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ワインダークシー,,牡,3,3,8,22,新潟,T,1600,良,2,3,未勝利,34.1,逃げ,7,7,5,福島,T,1800,良,6,3,未勝利,35.9,逃げ,30,12,7,中山,T,1800,良,4,2,未勝利*,35.0,先行,7,10,19,新潟,T,2000,稍,3,2,未勝利*,36.7,逃げ,9,8,17,新潟,T,1800,良,3,4,新馬,34.0,先行,初
5,,9,,,,,ワッフル,,牝,3,19,5,3,東京,T,1600,良,18,10,未勝利,35.8,中団,3,4,11,中山,T,2000,良,4,6,山藤賞･1勝*,35.7,追込,2,3,28,中山,T,1600,稍,6,14,未勝利,35.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
5,B,10,,,,,ウインドオブヘヴン,,牡,3,8,7,18,福島,T,1200,良,6,3,未勝利,34.8,中団,4,6,21,東京,T,1600,稍,3,9,未勝利,35.4,差し,連,6,14,東京,T,1400,良,消,--,未勝利,----,,3,5,23,東京,T,1600,良,2,7,未勝利,34.8,先行,4,4,26,東京,T,1800,良,7,10,未勝利,35.1,先行,3
6,,11,,,,,ロジタイガー,,牝,3,8,7,19,福島,T,2000,良,15,14,未勝利・牝,39.5,中団,8,5,24,東京,T,1600,良,12,15,未勝利・牝,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ニシノオールワン,,牝,3,8,7,18,函館,T,1200,良,7,2,未勝利,34.5,後方,3,6,27,函館,T,1200,重,2,4,未勝利,35.1,逃げ,2,6,14,函館,T,1200,良,3,2,未勝利,35.0,逃げ,11,3,29,中京,T,1200,良,4,8,未勝利,34.2,差し,13,12,28,中山,T,1200,良,9,6,未勝利*,35.0,後方,21
7,,13,,,,,オンナキュヌヴィ,,牝,3,2,8,30,新潟,T,1400,良,3,2,未勝利,34.9,追込,3,8,9,新潟,T,1200,良,5,2,未勝利,34.6,中団,3,7,18,福島,T,1200,良,2,6,未勝利,34.5,差し,12,4,26,福島,T,1200,良,3,5,未勝利,34.5,差し,9,2,21,東京,T,1600,良,9,7,未勝利,34.1,後方,初
7,,14,,,,,アリアス,,牝,3,2,8,30,新潟,T,1400,良,2,5,未勝利,35.9,先行,9,6,27,函館,T,1200,重,6,6,未勝利,34.6,後方,9,4,25,東京,T,1400,良,5,8,未勝利,34.2,中団,3,4,4,中山,T,1600,良,4,7,未勝利,34.8,先行,3,3,15,中京,T,1400,良,4,9,未勝利,35.1,差し,13
8,,15,,,,,ポポラヴィスタ,,牝,3,3,8,23,新潟,T,1800,良,4,8,未勝利・牝,34.9,逃げ,2,8,8,新潟,T,2000,良,6,3,未勝利,37.1,逃げ,4,7,11,福島,T,1800,良,3,5,未勝利,35.5,逃げ,2,6,27,福島,T,1800,良,2,11,未勝利・牝,35.3,逃げ,19,2,14,小倉,D,1000,良,11,11,未勝利,37.4,中団,2
8,,16,,,,,ラグアイリータ,,牝,3,連,9,5,中山,T,1600,稍,2,8,未勝利,35.2,逃げ,3,8,15,新潟,T,2000,良,3,9,未勝利,35.8,先行,2,8,2,新潟,T,1800,良,8,7,未勝利,33.7,中団,5,6,27,福島,T,1800,良,6,4,未勝利・牝,35.3,中団,33,11,9,東京,T,1800,良,14,4,未勝利*,37.3,逃げ,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091306040405,2026.9.13,日,中山,4中4,5,,新馬,芝,1800,B,4,重(暫定),曇(暫定),15,12:25,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,セイルクルーズ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ラルコ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ストロングボイス,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,カシノデスティニー,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,コッディ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,コスモコリウス,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,マイサマーガール,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
