レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010401,2026.6.21,日,函館,1函4,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
3,,5,,,,,チリンドリ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,コンティ,,牝,3,20,1,31,東京,T,1800,良,9,1,新馬,33.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,トルークマクト,,牝,3,20,1,31,小倉,T,1800,良,13,4,未勝利,36.3,後方,4,1,5,中山,T,1600,良,3,5,新馬,34.9,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,パンキー,,牡,3,12,3,28,阪神,T,1600,良,3,1,未勝利,34.8,先行,2,3,14,中京,T,2000,良,3,12,未勝利,34.9,差し,25,9,21,阪神,T,1800,良,4,9,新馬,34.9,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ヘクセンハウス,,牝,3,6,5,10,京都,T,1600,良,8,6,未勝利,34.8,中団,3,4,19,中山,T,1600,良,3,5,１勝ｸﾗｽ*,34.3,先行,5,3,14,阪神,T,1400,良,8,17,未勝利,34.5,中団,6,2,1,小倉,T,1200,良,15,8,未勝利,35.5,後方,28,7,20,函館,T,1200,良,5,9,未勝利*,35.3,中団,3
5,,10,,,,,マイネルディザイア,,牡,3,4,5,23,新潟,T,1400,稍,8,8,未勝利,35.7,中団,12,3,1,小倉,T,1800,良,9,4,未勝利,38.5,先行,10,12,20,阪神,T,1600,良,17,8,未勝利*,36.1,先行,4,11,22,福島,T,1800,良,6,6,未勝利*,35.8,先行,3,11,2,東京,T,1800,良,4,3,未勝利*,35.8,逃げ,3
6,,11,,,,,ヒシナスキロ,,牝,3,5,5,16,東京,T,2000,良,2,2,未勝利・牝,33.4,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,アーデルブリックス,,牡,3,10,4,12,福島,T,1800,良,3,9,未勝利,35.7,逃げ,10,1,31,小倉,T,1800,良,7,8,未勝利,36.7,先行,5,12,27,中山,T,1600,良,7,5,新馬,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
7,B,13,,,,,グランフルス,,牡,3,5,5,17,東京,T,1800,良,10,9,未勝利,34.2,中団,6,4,5,中山,T,2000,重,6,12,未勝利,37.6,先行,3,3,14,中山,T,1600,良,8,11,未勝利,34.8,後方,17,11,15,東京,T,1600,良,17,15,未勝利*,34.9,中団,3,10,26,新潟,T,1600,稍,8,16,新馬,35.0,先行,初
7,,14,,,,,レジーナレガリア,,牝,3,18,2,14,小倉,D,1700,良,14,8,未勝利・牝,40.9,後方,7,12,28,阪神,T,1800,良,15,13,未勝利*,36.4,先行,17,8,31,中京,T,1400,良,11,4,未勝利*,36.1,後方,3,8,9,中京,T,1400,良,9,4,新馬,35.0,中団,初,,,,,,,,,,,,
8,,15,,,,,デルマノリクラ,,牡,3,9,4,19,中山,T,2000,良,10,16,未勝利,35.1,後方,3,3,28,中山,T,1600,稍,10,12,未勝利,35.8,後方,18,11,24,東京,D,1600,良,12,14,未勝利*,39.1,後方,2,11,9,東京,D,1600,稍,13,15,新馬,38.5,後方,初,,,,,,,,,,,,
8,,16,,,,,コワンニシタガウ,,牡,3,10,4,11,阪神,T,2000,稍,5,3,未勝利,35.7,中団,4,3,15,中京,T,2200,良,4,6,未勝利,36.8,逃げ,2,3,1,小倉,T,1800,良,6,5,未勝利,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010405,2026.6.21,日,函館,1函4,5,,新馬,芝,1200,A,2,良(暫定),曇(暫定),16,12:10,,馬齢,２歳
