レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010401,2026.5.10,日,新潟,1新4,1,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
5,,9,,,,,ピグマリオン,,牡,3,6,3,28,中山,D,1800,重,8,12,未勝利,40.2,中団,2,3,14,中山,D,1200,良,14,9,未勝利,39.0,後方,7,1,24,中山,D,1200,良,7,5,新馬,37.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,エトワールブルー,,牡,3,2,4,26,京都,D,1800,良,5,6,未勝利,38.6,中団,2,4,12,阪神,D,1800,稍,13,9,未勝利,36.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ヤマタケボニータ,,牡,3,32,9,28,中山,D,1800,良,8,6,未勝利*,41.0,中団,2,9,14,中山,D,1800,稍,3,8,未勝利*,39.9,差し,8,7,20,福島,T,2000,良,8,11,新馬,39.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
7,B,12,,,,,トップデュオ,,牡,3,3,4,19,中山,D,1800,良,6,6,未勝利,40.6,中団,14,1,10,中山,D,1800,良,4,7,未勝利,40.5,先行,3,12,20,中山,T,1800,良,12,10,未勝利*,35.2,後方,13,9,21,中山,T,2000,良,5,4,新馬,35.0,中団,初,,,,,,,,,,,,
7,,13,,,,,エッジランナー,,牡,3,3,4,19,福島,D,1700,良,8,14,未勝利,39.7,中団,13,1,17,中山,D,1800,良,13,13,新馬,41.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,メイケイシャイン,,牡,3,3,4,18,福島,T,1200,良,11,14,未勝利,34.7,後方,19,12,6,中京,T,1200,良,16,14,未勝利*,34.9,中団,3,11,16,京都,T,1600,良,15,13,未勝利*,38.9,逃げ,2,11,2,京都,D,1400,稍,15,7,新馬,40.3,先行,初,,,,,,,,,,,,
8,,15,,,,,ユイバイハウス,,牡,3,9,3,7,阪神,T,2400,稍,10,9,未勝利,36.0,先行,3,2,15,小倉,T,1800,稍,11,15,未勝利,35.6,中団,9,12,13,中京,T,2000,良,11,10,新馬,35.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010405,2026.5.10,日,新潟,1新4,5,,未勝利,芝,1800,B,2,良(暫定),晴(暫定),16,12:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
