レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021101,2026.5.30,土,東京,2東B,1,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,09:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
4,,7,,,,,ショウナンバーボン,,牡,3,2,5,16,新潟,T,1600,良,5,5,未勝利,35.0,先行,4,4,18,中山,T,1600,良,2,4,未勝利,35.2,逃げ,4,3,22,中京,D,1400,良,9,6,未勝利,40.0,中団,9,1,17,中山,D,1800,良,9,3,未勝利,42.6,先行,4,12,20,中山,T,1800,良,10,7,未勝利*,35.2,中団,16
4,,8,,,,,ゴールドパレード,,牡,3,11,3,14,中山,D,1200,良,12,3,未勝利,39.1,中団,5,2,7,小倉,T,1200,良,8,5,未勝利,35.7,中団,9,12,6,中京,T,1200,良,3,3,未勝利*,34.5,先行,3,11,15,福島,T,1200,良,4,11,未勝利*,35.0,差し,3,10,26,新潟,T,1400,良,5,12,未勝利*,35.9,中団,2
5,,9,,,,,サンシュノジンギ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ジェムシリカ,,牝,3,連,5,24,東京,T,1600,良,7,11,未勝利・牝,35.7,逃げ,6,4,11,中山,D,1800,重,16,9,未勝利・牝,44.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ソチミルコ,,牝,3,9,3,28,中京,T,1600,良,5,5,未勝利,34.8,中団,2,3,15,中京,T,1400,良,5,7,未勝利,34.5,後方,13,12,13,中山,D,1200,良,9,1,未勝利・牝*,40.2,先行,8,10,18,東京,T,1400,良,7,2,新馬・牝,33.5,中団,初,,,,,,,,,,,,
6,,12,,,,,ミクロスギガース,,牝,3,9,3,29,中山,T,1800,良,9,13,未勝利,36.8,先行,9,1,24,中山,D,1200,良,10,6,新馬,40.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,スーパーハイウェイ,,牡,3,10,3,21,中山,D,1800,良,8,8,未勝利,40.4,先行,3,3,1,中山,D,1800,稍,10,6,未勝利,40.9,中団,3,2,7,東京,D,1600,良,5,5,未勝利,38.4,先行,8,12,14,中山,T,1600,稍,6,5,新馬,36.4,中団,初,,,,,,,,,,,,
7,,14,,,,,パチクリベスクリ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,15,,,,,スピットブレイク,,牡,3,14,2,22,小倉,T,1200,良,8,7,未勝利,35.5,中団,2,2,7,小倉,T,1200,良,4,6,未勝利,35.5,差し,7,12,21,中山,T,1600,重,4,4,未勝利*,36.6,先行,3,11,29,東京,T,1400,良,4,10,未勝利*,34.2,差し,6,10,18,新潟,D,1200,良,14,5,新馬,37.9,後方,初
8,,16,,,,,アラムベイ,,牡,3,4,5,3,東京,T,1800,良,5,6,未勝利,35.1,先行,6,3,22,中山,T,1600,良,6,6,未勝利,35.1,後方,33,8,3,新潟,T,1600,良,3,6,新馬,33.6,追込,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,17,,,,,ヘクトルテソーロ,,牡,3,4,5,2,新潟,T,1400,稍,7,6,未勝利,37.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,18,,,,,ヤマニンアレシス,,牡,3,4,5,2,新潟,T,1400,稍,4,1,未勝利,37.5,先行,4,4,4,中山,T,1600,良,3,1,未勝利,35.0,先行,3,3,14,中山,T,1600,良,2,2,未勝利,34.9,先行,4,2,14,東京,T,1400,良,2,4,未勝利,33.6,差し,2,2,1,東京,T,1600,良,4,11,新馬,34.3,先行,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021105,2026.5.30,土,東京,2東B,5,,未勝利,芝,2000,C,3,良(暫定),晴(暫定),16,12:10,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,フリーリターン,,牝,3,8,4,4,中山,T,1600,良,14,15,未勝利,35.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ベアダイヤモンド,,牡,3,3,5,10,東京,T,2000,良,2,10,未勝利,33.6,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,フライングビーナス,,牝,3,7,4,11,福島,T,2000,良,7,6,未勝利,35.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,エバーシャンティ,,牝,3,4,5,2,東京,T,2000,良,3,5,未勝利,34.4,先行,3,4,11,中山,T,2000,良,12,3,未勝利・牝,35.2,後方,34,8,16,札幌,T,1800,良,3,3,未勝利*,35.2,先行,4,7,20,函館,T,1800,良,4,3,新馬,34.7,追込,初,,,,,,,,,,,,
3,,5,,,,,チャンピオンホープ,,牡,3,20,1,10,中山,T,2000,良,10,8,新馬,35.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,マイネルアイフェル,,牡,3,8,4,7,川崎,D,1600,重,5,4,ダイヤ,----,中団,7,2,15,東京,D,2100,良,10,12,未勝利,40.0,後方,2,2,3,川崎,D,1600,良,5,5,フェブ,----,先行,3,1,12,中山,T,2000,良,15,14,未勝利,37.7,中団,12,10,18,東京,T,1800,良,6,7,未勝利*,35.6,中団,2
4,,7,,,,,デリシューズマン,,セ,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ジーティーホクサイ,,セ,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ジャストマイウェイ,,牝,3,13,3,1,小倉,T,2000,良,13,4,未勝利・牝,36.6,後方,7,1,12,中山,D,1800,良,13,2,未勝利・牝,42.3,先行,4,12,14,中山,T,2000,稍,4,3,未勝利*,37.9,逃げ,9,10,11,東京,T,1600,良,5,1,未勝利・牝*,34.7,中団,5,9,7,中山,T,2000,良,2,1,未勝利*,33.8,先行,3
5,,10,,,,,セイウンアズール,,牝,3,20,1,11,中山,T,2200,良,15,8,未勝利,37.3,中団,14,10,4,東京,T,2000,良,9,5,未勝利*,35.9,後方,3,9,13,中山,T,2000,稍,4,3,新馬,34.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,シーガルワールド,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,カノープス,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ケナゲ,,牝,3,3,5,10,新潟,T,1800,良,5,6,未勝利・牝,34.0,後方,3,4,19,中山,T,2000,良,5,13,未勝利,34.9,中団,4,3,21,中京,T,2000,良,13,18,未勝利・牝,35.9,中団,18,11,15,東京,T,2000,良,11,11,未勝利*,34.7,後方,3,10,25,東京,T,1800,良,5,6,未勝利*,34.6,後方,14
7,,14,,,,,エラガバリウム,,セ,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,チルチャンプ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ベルウッドバイオ,,牡,3,3,5,10,東京,T,2000,良,3,4,未勝利,33.9,差し,3,4,18,中山,T,1600,良,7,3,未勝利,34.8,後方,2,4,4,中山,T,1600,良,7,9,未勝利,34.7,中団,11,1,18,中山,D,1800,良,6,6,未勝利,40.5,中団,4,12,20,中山,T,1800,良,7,14,未勝利*,35.0,中団,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021106,2026.5.30,土,東京,2東B,6,,1勝,ダート,1600,,2,良(暫定),晴(暫定),16,12:40,,馬齢,３歳
