日付,馬名,スコア,レースID
2026.3.1,アサヒ,1.0,2026031506020610
2026.3.2,アサヒ,5.7,2026032909020211
2026.4.2,アサヒ,1.0,2026042608030211
2026.5.2,アサヒ,8.3,2026052408031011
2026.5.2,アサリア,15.0,2026052308030904
2026.5.9,アサリア,6.6,2026050908030503
2026.1.5,アシャカタカ,3.1,2026010506010211
2026.3.1,アシャカタカ,4.2,2026030106020210
2026.1.1,アシャカバッハ,18.7,2026011706010601
2026.3.1,アシャカバッハ,3.1,2026031406020503
2026.5.1,アシャカバッハ,6.6,2026051604010502
2026.2.1,アシャカブラン,5.6,2026021510010804
2026.1.1,アシャカルッカ,13.8,2026011706010601
2026.3.1,アシャカルッカ,5.6,2026031507010201
2026.1.3,アシャカルー,21.6,2026013108020103
2026.3.1,アシャカルー,4.1,2026030109010402
2026.3.2,アシャカロッケ,15.0,2026032806030101
2026.1.2,アジアミッション,17.4,2026012506010910
2026.3.2,アジアミッション,8.3,2026032806030109
2026.5.1,アジアミッション,12.1,2026051705020812
2026.1.1,アジアントレジャー,12.9,2026011006010309
2026.1.2,アジアントレジャー,4.2,2026012406010806
2026.5.1,アジアントレジャー,5.7,2026051605020707
2026.3.7,アジャイブ,1.0,2026030706020306
2026.5.2,アジャイブ,1.5,2026052304010702
2026.2.7,アジュアカレンツ,34.2,2026020705010302
2026.4.1,アジュアカレンツ,32.5,2026041106030502
2026.5.1,アジュアカレンツ,32.5,2026051005020602
2026.6.6,アジュアカレンツ,26.8,2026060605030102
2026.2.2,アジュマン,3.5,2026022209010209
2026.3.2,アジュマン,32.5,2026032809020110
2026.4.1,アジュマン,65.7,2026041809020710
2026.5.3,アジュマン,65.7,2026053008031108
2026.1.2,アジーザム,17.4,2026012510010202
2026.3.2,アジーザム,4.2,2026032106020701
2026.6.7,アジーザム,11.7,2026060705030201
2026.1.1,アスクアイルビゼア,27.0,2026011108010408
2026.1.3,アスクアイルビゼア,34.2,2026013105010108
2026.2.2,アスクアイルビゼア,39.5,2026022205010812
2026.5.1,アスクアイルビゼア,15.0,2026051705020812
2026.3.2,アスクアメージモア,3.1,2026032107010312
2026.4.5,アスクアメージモア,6.6,2026040509020406
2026.2.1,アスクイキゴミ,20.1,2026020105010205
2026.4.4,アスクイキゴミ,11.2,2026040409020311
2026.5.1,アスクイキゴミ,15.0,2026051005020611
2026.2.2,アスクウルトラモア,1.0,2026022110010906
2026.3.7,アスクウルトラモア,1.0,2026030709010504
2026.5.2,アスクウルトラモア,1.5,2026052408031003
2026.6.7,アスクウルトラモア,2.4,2026060709030206
2026.3.1,アスクエジンバラ,47.2,2026031506020611
2026.4.1,アスクエジンバラ,15.0,2026041906030811
2026.5.3,アスクエジンバラ,24.8,2026053105021211
2026.1.1,アスクエピソード,5.6,2026011008010310
2026.2.1,アスクエピソード,4.1,2026020108020212
2026.4.2,アスクエピソード,9.3,2026042508030112
2026.4.5,アスクエピソード,15.0,2026040509020408
2026.1.1,アスクオンディープ,35.3,2026011806010704
2026.1.1,アスクガンバーレ,32.3,2026011808010707
2026.1.5,アスクガンバーレ,34.2,2026010508010207
2026.3.2,アスクガンバーレ,33.7,2026032807010509
2026.4.1,アスクガンバーレ,74.0,2026041209020606
2026.1.1,アスクキングコング,3.1,2026011808010710
2026.3.2,アスクキングコング,2.6,2026032909020212
2026.4.1,アスクキングコング,0.5,2026041209020607
2026.2.2,アスクケンタッキー,16.9,2026022209010206
2026.2.7,アスクケンタッキー,4.1,2026020708020306
2026.5.9,アスクケンタッキー,5.2,2026050908030506
2026.1.1,アスクコモンタレヴ,34.3,2026011808010708
2026.2.7,アスクコモンタレヴ,47.2,2026020708020307
2026.3.8,アスクコモンタレヴ,47.0,2026030809010607
2026.4.2,アスクコモンタレヴ,33.3,2026042608030209
2026.1.2,アスクシュタイン,24.2,2026012408010810
2026.2.2,アスクセクシーモア,6.8,2026022205010810
2026.5.3,アスクセクシーモア,17.4,2026053105021212
2026.1.5,アスクチャンスマン,25.6,2026010508010202
2026.2.1,アスクチャンスマン,30.8,2026020108020203
2026.4.5,アスクチャンスマン,33.7,2026040509020405
2026.1.2,アスクデッドヒート,32.3,2026012410010107
2026.2.1,アスクデッドヒート,34.3,2026021510010807
2026.2.2,アスクデッドヒート,34.3,2026022810011109
2026.4.2,アスクデッドヒート,64.1,2026042603010606
2026.5.1,アスクデッドヒート,54.0,2026051708030809
2026.5.3,アスクデッドヒート,37.1,2026053105021208
2026.1.4,アスクデビューモア,34.2,2026010406010109
2026.3.8,アスクデビューモア,17.4,2026030806020410
2026.2.1,アスクドゥチャンプ,9.9,2026021405010504
2026.2.2,アスクドゥチャンプ,24.8,2026022809010302
2026.3.2,アスクドゥチャンプ,33.7,2026032807010504
2026.4.1,アスクドゥチャンプ,13.3,2026041109020505
2026.5.1,アスクドゥチャンプ,37.1,2026051005020605
2026.5.2,アスクドゥチャンプ,24.8,2026052408031006
2026.1.5,アスクドゥポルテ,26.6,2026010508010211
2026.2.8,アスクドゥポルテ,25.6,2026020810010611
2026.4.1,アスクドゥポルテ,8.3,2026041203010211
2026.5.2,アスクドゥラメンテ,8.3,2026052305020911
2026.1.1,アスクナイスショー,5.6,2026011006010311
2026.3.2,アスクナイスショー,16.8,2026032806030111
2026.4.1,アスクハッピーマン,14.5,2026041903010404
2026.5.1,アスクハッピーマン,74.0,2026051708030803
2026.1.1,アスクビギンアゲン,3.1,2026011108010410
2026.1.2,アスクビギンアゲン,1.0,2026012508010910
2026.3.2,アスクファイアモア,3.1,2026032209011004
2026.3.2,アスクファイアモア,8.3,2026032807010505
2026.4.1,アスクファイアモア,21.4,2026041103010106
2026.2.2,アスクブームキセキ,20.1,2026022109010105
2026.1.4,アスクホープマン,18.8,2026010406010103
2026.2.1,アスクホープマン,3.5,2026021405010503
2026.1.2,アスクメークシェア,30.6,2026012510010212
2026.2.1,アスクメークシェア,13.8,2026021510010807
2026.2.1,アスクワンタイム,21.6,2026021510010811
2026.3.1,アスクワンタイム,39.5,2026031509010811
2026.4.1,アスクワンタイム,61.7,2026041206030611
2026.5.1,アスクワンタイム,54.0,2026051608030711
2026.5.3,アスクワンタイム,33.7,2026053108031210
2026.1.2,アスクヴォルテージ,17.4,2026012508010912
2026.2.2,アスクヴォルテージ,39.5,2026022209010208
2026.3.2,アスクヴォルテージ,23.3,2026032907010609
2026.4.1,アスクヴォルテージ,50.2,2026041809020707
2026.5.1,アスクヴォルテージ,55.0,2026051004010412
2026.6.7,アスクヴォルテージ,21.0,2026060709030208
2026.2.2,アスコットアイ,6.8,2026022810011103
2026.2.2,アスコットダンス,34.3,2026022210011006
2026.2.8,アスコットダンス,7.8,2026020810010606
2026.4.2,アスコットダンス,16.1,2026042603010605
2026.5.1,アスコットダンス,26.8,2026051708030804
2026.3.1,アスコットヴェール,25.6,2026031406020501
2026.4.1,アスコットヴェール,65.7,2026041106030501
2026.4.1,アスコリピチェーノ,21.9,2026041109020511
2026.2.1,アスゴッド,12.9,2026020110010403
2026.2.1,アスゴッド,30.6,2026021408020512
2026.3.1,アスゴッド,12.4,2026030106020212
2026.5.2,アスゴッド,14.5,2026052308030912
2026.6.7,アスゴッド,11.8,2026060705030212
2026.1.1,アスタウイン,1.0,2026011008010301
2026.2.1,アスタウイン,34.2,2026020108020201
2026.1.1,アスターエポワス,47.1,2026011208010503
2026.4.1,アスターエポワス,71.4,2026041209020601
2026.1.1,アスターシャウルス,4.2,2026011008010301
2026.4.4,アスターシャウルス,1.5,2026040409020304
2026.3.2,アスターブジエ,16.8,2026032909020210
2026.3.8,アスターブジエ,17.4,2026030806020409
2026.4.1,アスターブジエ,24.8,2026041906030812
2026.1.2,アスターラングル,4.2,2026012510010201
2026.3.2,アスターラングル,2.2,2026032807010501
2026.2.2,アスターリコッタ,6.1,2026022809010303
2026.2.7,アスターリコッタ,3.1,2026020710010501
2026.2.1,アスタールテニウム,3.1,2026021510010812
2026.1.1,アスタールフナ,34.3,2026011106010412
2026.3.1,アスタールフナ,12.4,2026030109010412
2026.3.2,アスタールフナ,17.4,2026032909020212
2026.4.1,アスタールフナ,47.8,2026041106030512
2026.5.3,アスタールフナ,23.3,2026053008031112
2026.3.1,アスティスプマンテ,30.6,2026030106020210
2026.1.2,アステリアート,34.2,2026012408010806
2026.1.5,アステリアート,2.2,2026010506010205
2026.5.1,アステルディーヴァ,1.5,2026051608030701
2026.2.2,アストラカ,9.9,2026022209010212
2026.2.8,アストラカ,3.1,2026020810010610
2026.4.1,アストラカ,16.8,2026041806030712
2026.5.1,アストラカ,6.6,2026051608030712
2026.1.2,アストラッド,3.1,2026012510010208
2026.2.8,アストラッド,5.6,2026020810010608
2026.1.2,アストリル,34.3,2026012510010207
2026.2.7,アストリル,34.3,2026020710010506
2026.3.1,アストリル,33.3,2026030110011202
2026.1.1,アスパラゴ,9.1,2026011106010402
2026.2.1,アスパラゴ,4.2,2026020105010202
2026.4.1,アスパラゴ,14.5,2026041106030501
2026.1.3,アスミル,32.3,2026013105010110
2026.2.2,アスミル,29.5,2026022809010310
2026.3.2,アスミル,8.5,2026032107010311
2026.5.1,アスミル,17.3,2026051008030610
2026.1.3,アズサ,3.1,2026013110010302
2026.2.1,アズライトアスール,3.1,2026021510010805
2026.3.7,アズライトアスール,1.0,2026030709010504
2026.5.2,アズライトアスール,4.8,2026052408031003
2026.1.2,アセンブリールーム,39.5,2026012406010812
2026.4.2,アセンブリールーム,64.1,2026042505020108
2026.5.1,アセンブリールーム,85.7,2026051005020606
2026.1.3,アゼム,5.6,2026013110010305
2026.3.1,アゼム,25.6,2026030110011204
2026.4.2,アタカミーム,5.3,2026042608030202
2026.2.1,アタリダイキチ,12.4,2026020110010410
2026.4.1,アタリダイキチ,15.0,2026041103010110
2026.2.7,アチーヴァー,9.9,2026020708020304
2026.4.1,アチーヴァー,17.4,2026041106030503
2026.1.1,アッカン,30.6,2026011806010711
2026.2.2,アッカン,4.1,2026022109010108
2026.4.2,アッカン,12.9,2026042505020111
2026.3.2,アックアヴィリーレ,6.6,2026032209011008
2026.1.1,アッシズオブローズ,34.3,2026011106010402
2026.4.1,アッシズオブローズ,17.3,2026041906030804
2026.6.6,アッシズオブローズ,61.7,2026060605030107
2026.4.1,アッシュグレイス,17.4,2026041203010202
2026.4.2,アッシュグレイス,1.6,2026042505020101
2026.4.1,アッシュバーグ,8.3,2026041206030607
2026.4.2,アッセクシー,6.1,2026042608030203
2026.2.1,アッチャゴーラ,32.3,2026021505010610
2026.4.2,アッチャゴーラ,10.4,2026042605020210
2026.1.2,アッチョンブリケ,5.6,2026012410010103
2026.4.1,アッチョンブリケ,24.8,2026041103010104
2026.1.1,アットアブラスト,27.0,2026011808010708
2026.2.7,アットアブラスト,9.1,2026020708020307
2026.3.2,アットアブラスト,9.1,2026032209011007
2026.4.1,アットアブラスト,20.0,2026041809020708
2026.5.1,アットアブラスト,33.7,2026051008030606
2026.1.5,アッパーウォーター,30.6,2026010506010206
2026.4.1,アッパーウォーター,40.5,2026041203010205
2026.1.1,アツキヤマト,30.6,2026011706010606
2026.3.2,アツキヤマト,42.7,2026032106020712
2026.4.1,アツキヤマト,61.7,2026041906030807
2026.5.1,アツキヤマト,45.9,2026051004010407
