騎手コード,jockey_fuku30,jockey_fuku90
5585,0.36666666666666664,0.4444444444444444
5586,0.2,0.2
5592,0.0,0.0
5596,0.36666666666666664,0.3
5609,0.15384615384615385,0.15384615384615385
5619,0.23333333333333334,0.2111111111111111
5620,0.4,0.3888888888888889
5621,0.5,0.37777777777777777
5623,0.125,0.125
5625,0.23333333333333334,0.16666666666666666
5626,0.5666666666666667,0.3888888888888889
5627,0.16666666666666666,0.2777777777777778
5629,0.0,0.0
5639,0.1111111111111111,0.1111111111111111
5640,0.0,0.0
5641,0.16666666666666666,0.13924050632911392
5642,0.16666666666666666,0.16666666666666666
5643,0.3333333333333333,0.32222222222222224
5644,0.3,0.3076923076923077
5659,0.13333333333333333,0.14444444444444443
5660,0.26666666666666666,0.2714285714285714
5661,0.2,0.19767441860465115
5662,0.3333333333333333,0.3333333333333333
5663,0.03333333333333333,0.1
5664,0.0,0.0
5674,0.26666666666666666,0.2111111111111111
5675,0.375,0.375
5678,0.23333333333333334,0.3333333333333333
5680,0.26666666666666666,0.27586206896551724
