レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010401,2026.8.2,日,札幌,1札4,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
6,,8,ランブリングマン,牡,3,11,38.2, , 90,12,55,,*,北村友一,(栗),前川恭子,アポロケンタッキー,アドマイヤムーン,,ネイティヴダンサー系,5,23,2東9,2,１勝ｸﾗｽ*,ダ,1600,重,,石川,57.0,,14,230.7,10,2.1,13,,,13,12,37.38,36.2,6,ファイアマン
6,,9,ニヒトツーゼーア,牡,4,5,9.7, ,100,6,54,★,*,河原田菜,(栗),中竹和也,リオンディーズ,タニノギムレット,,ロイヤルチャージャー系,6,20,3阪5,9,１勝ｸﾗｽ,ダ,1800,稍,,永島,56.0,◇,13,30.1,9,2.8,10,16,16,15,15,38.00,38.0,7,ショウナンバンライ
7,,10,レイデラティエラ,牡,4,13,49.2, , 93,10,58,,*,富田暁,(栗),小崎憲,スワーヴリチャード,Leroidesanimaux,,ナスルーラ系,7,5,2小4,7,１勝ｸﾗｽ,芝,2000,重,,松若,58.0,,8,41.4,7,1.7,6,4,4,3,7,36.60,37.3,8,サトノアイボリー
7,,11,サイモンイロハニー,牝,4,7,16.8, , 98,7,56,,,小沢大仁,(栗),谷潔,ゴールドシップ,ダノンシャンティ,,ロイヤルチャージャー系,7,4,1函7,2,１勝ｸﾗｽ,芝,2600,良,,小沢,56.0,,6,94.9,3,2.6,7,6,6,7,5,36.84,37.4,3,ダノンヒストリー
8,,12,テイクザクラウン,牡,5,9,21.5, ,107,4,58,,,川又賢治,(栗),吉村圭司,サトノクラウン,ディープインパクト,,ロイヤルチャージャー系,7,18,1函B,4,１勝ｸﾗｽ,芝,2600,良,,川又,58.0,,5,17.1,6,1.6,1,7,7,5,6,37.65,36.8,8,マイネルゼウス
8,B,13,シャインバオバブ,牡,4,10,27.5, , 94,9,55,▲,*,遠藤汰月,(栗),本田優,シルバーステート,ルーラーシップ,,ネイティヴダンサー系,7,18,1函B,4,１勝ｸﾗｽ,芝,2600,良,B,古川,58.0,,9,71.8,9,1.8,5,7,7,9,9,37.77,36.6,6,マイネルゼウス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010405,2026.8.2,日,札幌,1札4,5,,新馬,芝,1800,A,4,稍(暫定),曇(暫定),14,12:20,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ジューンガレン,牡,2,4,10.1, ,  0,,55,,,浜中俊,(栗),長谷川浩,グローリーヴェイズ,フレンチデピュティ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,ホウオウプレマ,牝,2,2,4.5, ,  0,,55,,,池添謙一,(美),大竹正博,キタサンブラック,オルフェーヴル,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,オンザボー,牡,2,3,5.3, ,  0,,54,☆,,舟山瑠泉,(美),田中博康,コントレイル,"Temple City",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,スワッグウォーク,牡,2,1,1.9, ,  0,,55,,,武豊,(栗),武幸四郎,コントレイル,Speightstown,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,サーギュスターヴ,牡,2,9,64.6, ,  0,,55,,,丹内祐次,(美),杉浦宏昭,"New Bay","Privately Held",,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,ボンジュールパリ,牡,2,7,20.8, ,  0,,55,,,横山武史,(美),加藤征弘,ミスターメロディ,Dubawi,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,ロゼプレミア,牡,2,6,17.9, ,  0,,55,,,鮫島克駿,(栗),東田明士,ワールドプレミア,ゼンノロブロイ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,チャームジュネーヴ,牝,2,10,117.5, ,  0,,55,,,原田和真,(美),蛯名利弘,ハイランドリール,Heatseeker,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,デルマハッコウダ,牡,2,8,23.0, ,  0,,55,,,落合玄太,(美),天間昭一,ジャスタウェイ,"American Post",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,グラブザクラウン,牡,2,5,16.7, ,  0,,55,,,横山典弘,(栗),昆貢,サトノクラウン,エンパイアメーカー,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010406,2026.8.2,日,札幌,1札4,6,,1勝,ダート,1700,,4,稍(暫定),曇(暫定),14,12:50,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ステイアンビシャス,牡,4,11,40.4, ,103,7,58,,,佐々木大,(美),堀内岳志,ドレフォン,"Distorted Humor",,ネイティヴダンサー系,7,12,1函A,12,１勝ｸﾗｽ,ダ,2400,不,,佐々,58.0,,7,17.5,4,0.8,10,4,4,4,3,37.57,38.2,5,シャローファースト
2,B,2,アスクガンバーレ,牡,4,5,7.3, ,116,4,58,,,岩田康誠,(栗),福永祐一,サートゥルナーリア,マンハッタンカフェ,,ロイヤルチャージャー系,6,21,1函4,10,１勝ｸﾗｽ,ダ,1700,良,B,岩田,58.0,,2,4.2,5,0.5,2,7,6,7,3,38.07,37.2,6,ナクライト
3,,3,ロードアマルフィ,牡,3,3,5.6, ,116,4,55,,*,石川倭,(栗),中村直也,ルヴァンスレーヴ,クロフネ,,ニアークティック系,5,17,3京8,3,１勝ｸﾗｽ*,ダ,1800,良,,団野,57.0,,3,5.1,5,1.1,1,3,3,4,7,37.45,38.0,8,ジャイアンバローズ
4,B,4,マテンロウカナロア,牡,4,4,5.8, ,123,1,58,,,横山和生,(栗),野中賢二,ロードカナロア,"Roi Normand",,ネイティヴダンサー系,7,11,1函9,11,１勝ｸﾗｽ,ダ,1700,重,B,横山,58.0,,1,3.3,4,0.3,7,2,2,1,1,36.27,37.3,6,アイファーシャドー
