レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
8,,15,ディアアズール,牝,3,4,8.4, ,108,6,55,,,丸山元気,(美),森一誠,ダノンキングリー,ファルブラヴ,,ニアークティック系,5,2,1新1,3,未勝利,芝,2200,稍,,丸山,55.0,,2,3.9,3,1.0,3,2,2,2,2,38.03,36.6,5,プレイザリード
8,B,16,アースアクシス,牝,3,1,5.8, ,108,6,55,,*,杉原誠人,(美),栗田徹,ドレフォン,クロフネ,,ニアークティック系,3,14,2中5,9,未勝利・牝,ダ,1800,良,,戸崎,55.0,,2,4.4,9,1.3,2,6,4,3,3,38.60,40.7,11,エコロストーム
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010806,2026.5.24,日,新潟,1新8,6,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,12:30,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ニシノロッドマン,牡,3,7,18.2, ,110,3,57,,,野中悠太,(美),矢嶋大樹,リーチザクラウン,スマートファルコン,ロイヤルチャージャー系,ロイヤルチャージャー系,1,10,1中3,連,未勝利,ダ,1800,良,B,野中,57.0,,4,10.5,7,1.7,7,3,3,5,6,38.30,41.5,12,ベルウッドピース
2,,2,ホウオウストライク,牡,3,2,4.9, ,109,5,57,,*,荻野極,(栗),池江泰寿,"Good Magic",Flatter,,ナスルーラ系,2,22,1小A,12,未勝利,芝,2000,良,,小沢,57.0,,1,3.1,11,2.1,4,4,5,4,2,36.34,37.8,11,エイシンイグニース
3,,3,メイショウイッカク,牡,3,11,46.1, ,106,6,53,★,,河原田菜,(栗),池添学,ドレフォン,ダイワメジャー,,ロイヤルチャージャー系,5,10,1新4,5,未勝利,ダ,1800,良,,河原,53.0,★,9,67.2,8,2.1,7,3,3,4,4,38.35,40.0,10,ノリノドラゴン
4,,4,クロームクロス,牡,3,6,16.0, ,103,8,57,,,斎藤新,(栗),西園翔太,ミスターメロディ,ディープインパクト,,ロイヤルチャージャー系,5,17,1新6,18,未勝利,ダ,1800,良,,斎藤,57.0,,5,16.9,4,0.6,4,6,5,4,4,38.85,37.8,3,エタンセル
5,,5,キングスペード,牡,3,12,47.1, ,105,7,57,,,富田暁,(栗),武英智,クリソベリル,ドリームジャーニー,,ロイヤルチャージャー系,3,7,1阪5,2,未勝利,ダ,2000,稍,,富田,57.0,,5,20.2,10,3.1,6,6,5,2,2,38.53,41.5,11,テンマジックアワー
5,,6,ウルトラハート,牡,3,4,8.0, ,118,2,57,,*,丸山元気,(栗),中尾秀正,ホッコータルマエ,ハーツクライ,,ロイヤルチャージャー系,11,8,4京1,3,未勝利*,ダ,1800,良,,幸英,56.0,,3,3.8,3,0.1,1,4,6,4,2,38.20,37.4,2,ジャスティンルマン
6,,7,コイオステソーロ,牡,3,1,2.4, ,126,1,57,,,丹内祐次,(美),高木登,ナダル,"Smoke Glacken",,ネイティヴダンサー系,5,3,1新2,14,未勝利,ダ,1800,稍,,丹内,57.0,,1,3.2,2,0.1,1,5,4,4,3,37.95,39.3,2,カシノスパーク
6,,8,フィオリータ,牡,3,9,26.7, ,  0,,57,,,横山琉人,(美),大竹正博,Mendelssohn,"Deep Impact",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,キタノハイテイル,牡,3,8,20.6, ,100,10,55,◇,*,古川奈穂,(栗),羽月友彦,ルヴァンスレーヴ,ディープインパクト,,ロイヤルチャージャー系,5,9,3京5,13,未勝利,ダ,1800,良,,酒井,57.0,,11,51.3,7,2.0,7,15,15,15,14,39.40,37.4,1,ココロヅヨサ
7,,10,マイカラー,牡,3,5,10.6, ,110,3,55,△,*,舟山瑠泉,(栗),吉岡辰弥,"City of Light","Uncle Mo",,ナスルーラ系,4,5,2阪4,連,未勝利,ダ,1800,重,,岩田,57.0,,3,4.9,4,0.8,3,3,2,5,5,38.45,36.7,4,タイセイサーブル
8,,11,ドリームゴーズオン,牡,3,10,38.0, , 97,11,57,,,長岡禎仁,(栗),高橋亮,マクフィ,ディープインパクト,,ロイヤルチャージャー系,5,2,3京3,15,未勝利,ダ,1800,重,,長岡,57.0,,15,345.5,8,2.2,9,8,8,10,8,38.30,38.2,8,ケンフィールド
8,B,12,パンサーズ,牡,3,3,6.5, ,102,9,57,,*,小沢大仁,(栗),今野貞一,ダノンプレミアム,ルーラーシップ,,ネイティヴダンサー系,9,21,4阪7,3,未勝利*,芝,1600,良,,松若,55.0,,7,19.7,9,1.4,4,,,3,4,35.28,36.4,11,コルテオソレイユ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010807,2026.5.24,日,新潟,1新8,7,,1勝,ダート,1200,,2,稍(暫定),晴(暫定),15,13:00,,定量,４上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
