レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092106040701,2026.9.21,月,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,,,14,09:45,,定量,３上
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サンアンドスターズ,牝,2, , 91,8,53,◇,,小林美駒,(美),畠山吉宏,モーニン,ハービンジャー,,ニアークティック系,9,13,4中4,3,未勝利*,ダ,1200,重,,小林,53.0,◇,13,96.1,11,2.3,12,,,15,14,35.80,38.1,6,アレックスケー
2,,2,マイネルアルディ,牡,2, , 84,10,55,,*,佐々木大,(美),菊川正達,ブリックスアンドモルタル,ディープインパクト,,ロイヤルチャージャー系,6,21,3東6,初,新馬,芝,1800,稍,,石神,52.0,▲,13,180.7,13,1.8,7,,12,12,13,38.85,34.6,9,アヴィアトーレ
3,,3,アニエーネ,牝,2, ,116,2,55,,,柴田大知,(美),和田勇介,ベンバトル,ネオユニヴァース,,ロイヤルチャージャー系,8,22,3新1,3,未勝利*,芝,1800,良,,柴田,55.0,,2,6.0,2,0.2,3,,,2,2,38.00,33.1,3,コスモイェーガー
4,,4,キャピタルストーン,牡,2, ,125,1,55,,,大野拓弥,(美),久保田貴,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,7,11,2福5,3,未勝利*,芝,1800,良,,大野,55.0,,3,5.9,2,0.2,4,2,4,4,2,36.10,35.6,4,レオンティウス
5,,5,トーセンシントラ,牡,2, ,108,5,55,,*,丹内祐次,(美),中舘英二,ハイランドリール,タイキシャトル,,ロイヤルチャージャー系,8,22,3新1,初,新馬,芝,1600,良,,三浦,55.0,,6,25.6,6,0.5,12,,,1,1,37.20,34.5,9,ジップスパーク
6,,6,クシェドゥソレイユ,牝,2, ,112,4,55,,,横山武史,(美),辻哲英,エフフォーリア,"Pioneerof the Nile",,ネイティヴダンサー系,6,6,3東1,初,新馬,芝,1600,良,,横山,55.0,,2,4.9,3,0.7,8,,,2,2,36.48,34.2,5,フィリオソラーレ
7,,7,ドナリー,牝,2, ,116,2,53,△,,石神深道,(美),林徹,ルーラーシップ,ディープインパクト,ネイティヴダンサー系,ロイヤルチャージャー系,7,18,2福7,初,新馬・牝,芝,1800,良,,石神,53.0,△,6,13.7,2,0.1,6,1,1,1,1,36.95,35.6,4,シルクドマルス
7,,8,エレスレイプニル,牡,2, , 95,7,55,,*,木幡巧也,(美),杉浦宏昭,ハイランドリール,"Flower Alley",,ネイティヴダンサー系,8,23,3新2,3,新潟２歳G3,芝,1600,良,,木幡,55.0,,9,113.4,7,1.8,10,,,3,3,37.14,34.6,9,レッチュベルク
8,,9,コスモバルムンク,牡,2, , 96,6,55,,,菊沢一樹,(美),小手川準,ダノンバラード,レッドスパーダ,,,7,25,2新1,3,未勝利*,芝,1800,良,,菊沢,55.0,,5,11.4,6,0.9,2,,,7,7,37.65,33.5,6,レゾルーティオ
