レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,,,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
5,,10,ココロノヒコボシ,牡,3, ,  0,,54,▲,,舟山瑠泉,(美),嘉藤貴行,シャンハイボビー,エンパイアメーカー,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,リオンアンサー,牝,3, , 85,13,55,,,柴田善臣,(美),佐藤吉勝,リオンディーズ,ハービンジャー,,ニアークティック系,2,1,1東2,8,未勝利,ダ,1400,良,,柴田,55.0,,12,251.4,15,3.6,13,,,13,13,37.05,39.6,15,ケブランリ
6,,12,リトルコリンズ,牡,3, , 97,7,57,,,石橋脩,(美),小手川準,ダノンスマッシュ,ネオユニヴァース,,ロイヤルチャージャー系,1,24,1中8,初,新馬,ダ,1200,良,,石橋,57.0,,11,85.2,8,1.7,12,,,12,12,37.70,38.2,3,サマーゲール
7,,13,エコロセレナ,牝,3, ,107,4,55,,,岩田康誠,(美),斎藤誠,コントレイル,アドマイヤムーン,,ネイティヴダンサー系,2,22,1東8,11,未勝利,ダ,1400,良,,岩田,55.0,,7,14.5,5,1.2,9,,,2,2,37.35,37.6,11,アトミックブレス
7,,14,トヨサカエ,牡,3, ,109,2,57,,,吉田豊,(美),高橋文雅,ディーマジェスティ,アルデバラン2,,ネイティヴダンサー系,2,15,1東6,3,未勝利,ダ,1300,良,,吉田,57.0,,3,4.1,2,1.0,5,,,10,10,37.03,35.9,1,ジャックナダル
8,,15,ピクシーゲイル,牡,3, ,  0,,57,,,木幡育也,(美),松永康利,ダノンスマッシュ,メイショウサムソン,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,ラインカシウス,牝,3, , 93,9,52,▲,*,小林美駒,(美),水野貴広,リアルスティール,ロードカナロア,,,12,27,5中7,6,未勝利*,ダ,1200,稍,,舟山,52.0,▲,12,160.1,13,2.7,13,,,4,4,34.30,40.1,13,パータリプトラ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020304,2026.3.7,土,中山,2中3,4,,ｵｰﾌﾟﾝ,障害(直線ダ),3200,,,,,14,11:35,,別定,４上
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,コレクテイニア,牡,6,>,112,7,60,,,草野太郎,(美),戸田博文,Collected,"Kitten's Joy",,ニアークティック系,1,17,1中6,5,障害未勝利,障ダ,2880,良,,草野,60.0,,1,1.6,1,-1.2,1,3,1,1,1,,13.5,,(アルカンサス)
2,B,2,アルカンサス,牡,7,>,100,12,57,▲,,土田真翔,(美),田中勝春,シルバーステート,Orientate,,ナスルーラ系,2,15,1小8,4,障害未勝利,障芝,2860,稍,B,土田,57.0,▲,7,15.6,1,-0.3,6,6,6,6,5,,13.7,,(コスモアミマネラ)
3,,3,メイショウソムリエ,セ,5,>,103,10,60,,,大江原圭,(美),蛯名正義,サトノダイヤモンド,"Storm Cat",,ニアークティック系,2,7,1小5,7,障害未勝利,障芝,2860,稍,,大江,60.0,,5,11.0,1,-0.1,7,2,2,2,2,,13.7,,(スノーディーヴァ)
3,B,4,プラチナドリーム,牡,7, ,117,3,61,,,石神深一,(美),菊川正達,ホッコータルマエ,シンボリクリスエス,,ロイヤルチャージャー系,12,27,5中7,10,中山大障JG1,障芝,4100,良,B,石神,63.0,,6,73.6,5,2.9,7,8,7,5,5,,14.1,,エコロデュエル
4,,5,キングサーガ,セ,9, ,115,6,60,,,小野寺祐,(栗),小栗実,キングカメハメハ,ディープインパクト,ネイティヴダンサー系,ロイヤルチャージャー系,12,20,5阪5,8,障害・オープ,障ダ,3110,良,,小野,60.0,,1,3.6,4,0.9,6,11,9,8,9,,13.8,,テイエムマジック
4,,6,インディゴブラック,セ,7, ,116,5,61,,,小坂忠士,(栗),奥村豊,キタサンブラック,Bernardini,,ナスルーラ系,1,10,1京3,8,牛若丸ジ,障ダ,3170,良,,小坂,60.0,,2,2.9,2,0.6,4,1,1,1,1,,13.6,,シホノスペランツァ
5,,7,ホークフィールド,牡,5, ,125,1,61,,,高田潤,(栗),武英智,キズナ,"Hawk Wing",,ネイティヴダンサー系,1,31,1小3,11,障害・オープ,障芝,2860,良,,高田,60.0,,2,3.7,1,-0.4,4,3,4,4,4,,13.3,,(ロードリベラシオン)
5,,8,マルベリーシチー,牡,6,>,108,8,60,,,上野翔,(美),奥平雅士,サトノアラジン,キングカメハメハ,,ネイティヴダンサー系,11,22,3福5,4,障害未勝利,障芝,2770,良,,上野,60.0,,1,1.8,1,-0.6,4,1,1,1,1,,13.1,,(ビジューブリランテ)
6,,9,ヴラディア,牡,7, , 95,13,60,,*,伴啓太,(美),松尾卓哉,ラブリーデイ,マーベラスサンデー,,ロイヤルチャージャー系,1,10,1京3,3,牛若丸ジ,障ダ,3170,良,,石神,59.0,,11,126.6,5,1.2,10,6,6,5,5,,13.7,,シホノスペランツァ
6,,10,アスクオンディープ,セ,7,>,108,8,60,,,小牧加矢,(栗),前川恭子,ディープインパクト,Curlin,ロイヤルチャージャー系,ネイティヴダンサー系,1,18,1中7,6,障害未勝利,障ダ,2880,良,,小牧,60.0,,1,3.1,1,-0.4,2,3,3,3,3,,13.4,,(ゴールデンステップ)
7,,11,コンテナワールド,牡,5, ,120,2,58,▲,,井上敏樹,(栗),中竹和也,エピファネイア,アグネスタキオン,,ロイヤルチャージャー系,1,5,1中2,12,中山新春,障ダ,3200,良,,井上,59.0,,5,22.6,1,-0.4,2,1,1,1,1,,13.5,,(ディナースタ)
7,,12,クラウンセト,牡,7, , 82,14,60,,*,江田勇亮,(美),本間忍,ストロングリターン,ブラックタイド,,ロイヤルチャージャー系,1,5,1中2,19,中山新春,障ダ,3200,良,,草野,59.0,,9,45.7,9,7.4,9,6,6,8,9,,13.9,,コンテナワールド
8,,13,アメリカンピース,セ,8, ,101,11,60,,*,黒岩悠,(栗),東田明士,Tapit,Ghostzapper,ナスルーラ系,ニアークティック系,12,20,5阪5,4,障害・オープ,障ダ,3110,良,,小坂,60.0,,12,39.2,3,0.8,3,2,2,3,3,,13.8,,テイエムマジック
8,,14,ロードリベラシオン,牡,4, ,117,3,57,▲,,坂口智康,(美),尾形和幸,ダノンバラード,エンパイアメーカー,,ネイティヴダンサー系,1,31,1小3,7,障害・オープ,障芝,2860,良,,坂口,57.0,▲,3,7.6,2,0.4,1,1,1,1,1,,13.3,,ホークフィールド
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020305,2026.3.7,土,中山,2中3,5,,未勝利,芝,2200,A,4,,,18,12:25,,馬齢,３歳
