レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010801,2026.8.16,日,札幌,1札8,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
7,,11,ホウオウロレンシア,牝,3,6,20.7, ,111,3,55,,*,北村友一,(美),高木登,ゴールドシップ,Congrats,,ナスルーラ系,8,2,1札4,3,未勝利,ダ,1700,良,,石川,55.0,,3,10.8,4,1.9,9,3,3,2,2,37.53,38.9,7,ワンダーブリッツ
7,,12,ペガサスウィンド,牝,3,3,9.2, ,112,2,55,,*,坂井瑠星,(栗),宮地貴稔,マインドユアビスケッツ,ハーツクライ,,ロイヤルチャージャー系,7,18,1函B,2,未勝利,ダ,1700,良,,鮫島,55.0,,4,6.3,4,1.3,4,2,2,2,2,37.58,38.7,10,ホウオウライセンス
8,B,13,ブライトエンジェル,牝,3,2,6.0, ,102,6,55,,*,川又賢治,(栗),角田晃一,コントレイル,ロードカナロア,,,7,12,2小6,3,未勝利・牝,芝,1200,良,,角田,55.0,,4,7.1,12,1.2,8,,,8,10,33.60,35.7,13,ホーリーステップ
8,,14,パーシヴァル,セ,3,4,9.7, , 99,9,57,,*,横山琉人,(美),相沢郁,デクラレーションオブウォー,ディープインパクト,,ロイヤルチャージャー系,7,26,2新2,31,未勝利,ダ,1800,不,,石川,57.0,,3,5.9,11,3.0,2,12,12,10,10,38.00,39.7,9,トップデュオ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010805,2026.8.16,日,札幌,1札8,5,,新馬,芝,1800,A,4,良(暫定),晴(暫定),14,12:20,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ミライショウグン,牡,2,8,27.2, ,  0,,54,☆,,舟山瑠泉,(栗),前川恭子,カデナ,"Kitten's Joy",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,マサノブルスカイ,牡,2,9,30.5, ,  0,,52,▲,,和田陽希,(栗),藤野健太,エピファネイア,ヴィクトワールピサ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,アイアムツヨスギル,牡,2,7,18.2, ,  0,,55,,,池添謙一,(美),奥平雅士,ロードカナロア,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,グリームウッド,牡,2,11,33.3, ,  0,,55,,,横山琉人,(美),手塚貴徳,ヤングマンパワー,エイシンフラッシュ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,リアンディール,牝,2,5,10.9, ,  0,,55,,,佐々木大,(美),秋本大介,バゴ,ステイゴールド,ナスルーラ系,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,ネージュエトワール,牝,2,4,10.1, ,  0,,52,▲,,小林美駒,(美),新開幸一,ベストウォーリア,ハーツクライ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,シャイニーヒーロー,牡,2,12,76.9, ,  0,,52,▲,,大久保友,(美),畠山吉宏,サトノアラジン,"Rock of Gibraltar",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,レッドマスキュラー,牡,2,1,2.1, ,  0,,55,,,横山和生,(美),黒岩陽一,キズナ,"Mucho Macho Man",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,ハヤブサカツオー,牡,2,6,17.5, ,  0,,55,,,吉田隼人,(栗),岡田稲男,サートゥルナーリア,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,レッドディーヴァ,牝,2,10,33.3, ,  0,,55,,,小沢大仁,(栗),小椋研介,サトノダイヤモンド,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,レジームチェンジ,牡,2,3,8.0, ,  0,,55,,,横山武史,(美),鹿戸雄一,ルーラーシップ,"Daiwa Major",ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,シティオブドリーム,牝,2,2,4.5, ,  0,,55,,,横山典弘,(栗),昆貢,コントレイル,"Street Cry",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010806,2026.8.16,日,札幌,1札8,6,,1勝,ダート,1000,,2,良(暫定),晴(暫定),12,12:50,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ジュジュドール,牝,3,7,16.6, , 84,12,54,,*,斎藤新,(栗),西園翔太,レイデオロ,"Exceed And Excel",,ニアークティック系,7,4,1函7,2,１勝ｸﾗｽ・牝,芝,1200,良,,丹内,53.0,,9,200.3,10,0.9,6,,,2,4,33.80,35.4,10,ストレイトアスク
2,,2,マカニ,牝,4,11,37.6, , 94,10,54,◇,*,古川奈穂,(美),尾形和幸,ルヴァンスレーヴ,デヒア,,ニアークティック系,4,11,1福1,9,１勝ｸﾗｽ,ダ,1150,良,,森田,53.0,▲,9,24.7,15,4.2,7,,,2,5,35.02,41.1,15,ヒラボクカレラ
3,,3,イングラム,牡,3,2,4.6, ,116,1,55,☆,,舟山瑠泉,(栗),千田輝彦,モズアスコット,ディープインパクト,,ロイヤルチャージャー系,7,19,1函C,3,１勝ｸﾗｽ,ダ,1000,不,,舟山,54.0,☆,1,2.4,5,0.5,2,,,1,1,34.35,35.6,10,フレンズプラス
4,,4,ラテラルパーム,牡,3,3,7.3, ,106,5,56,,*,岩田康誠,(美),栗田徹,モーリス,ディープインパクト,,ロイヤルチャージャー系,7,26,2新2,11,１勝ｸﾗｽ,ダ,1200,重,,岩田,55.0,,5,7.1,4,0.8,8,,,5,5,35.20,36.6,7,ショコラキュイ
5,B,5,タイセイアビリティ,牡,4,9,22.1, ,107,4,58,,*,黛弘人,(栗),小林真也,フォーウィールドライブ,Galileo,,ニアークティック系,2,15,1小8,8,１勝ｸﾗｽ,ダ,1000,稍,B,松本,58.0,,9,23.9,6,1.9,5,,,4,5,34.95,35.7,11,ハヤテノツバサ
5,B,6,スパークルジョイ,牝,5,12,41.4, , 87,11,56,,*,小沢大仁,(栗),前川恭子,レッドファルクス,タニノギムレット,,ロイヤルチャージャー系,7,11,1函9,2,１勝ｸﾗｽ,ダ,1000,重,B,舟山,55.0,☆,4,10.3,8,0.9,7,,,7,8,35.55,35.3,6,ビップムーラン
6,B,7,ナンナンプー,牝,4,8,19.7, ,103,6,56,,*,横山琉人,(美),水野貴広,フィエールマン,ダイワメジャー,,ロイヤルチャージャー系,7,25,1札1,2,１勝ｸﾗｽ,芝,1200,良,B,石川,56.0,,12,71.2,5,0.3,14,,,10,11,35.10,34.3,4,グランテレーズ
6,,8,ビタミンドロップ,牡,3,1,2.6, ,116,1,53,▲,*,小林美駒,(美),松山将樹,エスポワールシチー,スターリングローズ,,ネイティヴダンサー系,7,26,1札2,2,１勝ｸﾗｽ,ダ,1000,良,,丹内,55.0,,1,3.0,4,0.8,1,,,1,1,35.55,36.0,7,ナムラモモ
7,,9,パドゼフィール,牝,3,5,10.9, , 98,9,50,★,*,河原田菜,(栗),新谷功一,ルヴァンスレーヴ,ゴールドアリュール,,ロイヤルチャージャー系,8,1,1札3,5,１勝ｸﾗｽ・牝,ダ,1000,稍,,松本,54.0,,7,16.9,6,1.2,8,,,5,4,35.85,35.6,7,ウーマンズパワー
