年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260529,ラベンダーヘイズ,69.8,51.2,33.4,16.6,18.6,17.8,16.8,16.6
20260529,ノボリフジ,68.2,50.0,33.1,16.6,18.2,16.9,16.5,16.6
20260529,エッジランナー,56.2,41.4,27.3,13.1,14.8,14.1,14.2,13.1
20260529,アンティミスト,55.9,41.1,27.2,13.5,14.8,13.9,13.7,13.5
20260529,マルガリート,68.4,50.4,33.3,16.9,18.0,17.1,16.4,16.9
20260529,ベルイストワール,63.7,46.3,30.0,14.5,17.4,16.3,15.5,14.5
20260529,アラスカフレイバー,68.1,50.5,33.7,16.2,17.6,16.8,17.5,16.2
20260529,ナムラジミー,68.0,50.4,33.2,15.7,17.6,17.2,17.5,15.7
20260529,ベアダイヤモンド,62.3,45.4,29.4,14.0,16.9,16.0,15.4,14.0
20260529,アシャカロッケ,68.0,49.5,32.4,16.0,18.5,17.1,16.4,16.0
20260529,リバージュエル,68.8,50.7,33.4,16.6,18.1,17.3,16.8,16.6
20260529,ベネファクター,65.2,48.1,31.6,16.1,17.1,16.5,15.5,16.1
20260529,ラプランセス,65.2,48.1,31.6,16.1,17.1,16.5,15.5,16.1
20260529,ミツカネルナ,68.0,48.8,32.1,16.0,19.2,16.7,16.1,16.0
20260529,ルージュボニート,67.9,49.9,33.2,16.5,18.0,16.7,16.7,16.5
20260529,サリードゥ,70.1,51.1,33.3,16.8,19.0,17.8,16.5,16.8
20260529,モリノヤマセミ,70.3,51.3,33.6,16.9,19.0,17.7,16.7,16.9
20260529,キングズパレス,67.3,48.5,31.0,15.1,18.8,17.5,15.9,15.1
20260529,マルチャン,65.2,48.1,32.4,16.5,17.1,15.7,15.9,16.5
20260529,サンダーユニバンス,67.2,48.4,30.8,15.0,18.8,17.6,15.8,15.0
20260529,キョウエイグッド,76.6,54.1,34.7,16.4,22.5,19.4,18.3,16.4
20260529,ファリーザ,67.4,49.5,32.6,15.8,17.9,16.9,16.8,15.8
20260529,ハッピーラッキー,54.3,39.8,25.7,12.4,14.5,14.1,13.3,12.4
20260529,リアライズシリウス,64.8,48.1,31.3,15.3,16.7,16.8,16.0,15.3
20260529,キャリアビジョン,65.8,49.1,31.8,16.1,16.7,17.3,15.7,16.1
20260529,ピクシーゲイル,63.6,46.6,30.1,14.8,17.0,16.5,15.3,14.8
20260529,アマイクチヅケ,67.9,48.6,31.4,15.2,19.3,17.2,16.2,15.2
20260529,ユーゲットミー,64.3,47.1,30.9,14.9,17.2,16.2,16.0,14.9
20260529,アウダーシア,65.9,49.4,32.7,16.0,16.5,16.7,16.7,16.0
20260529,ニシノツムジカゼ,64.4,47.3,30.7,14.7,17.1,16.6,16.0,14.7
20260529,ベアゲイル,77.4,56.2,36.3,17.8,21.2,19.9,18.5,17.8
20260529,チャックネイト,67.9,50.1,33.4,16.8,17.8,16.7,16.6,16.8
20260529,ジェイパームス,67.6,50.5,33.4,16.8,17.1,17.1,16.6,16.8
20260529,ピースサイン,65.9,48.5,32.1,15.6,17.4,16.4,16.5,15.6
20260529,クカイリモク,64.6,47.7,30.7,15.5,16.9,17.0,15.2,15.5
20260529,アクアマーズ,66.8,48.6,31.3,15.2,18.2,17.3,16.1,15.2
20260529,コパノエビータ,68.5,50.4,33.2,17.1,18.1,17.2,16.1,17.1
20260529,ジオセントリック,68.1,50.4,33.7,16.6,17.7,16.7,17.1,16.6
20260529,レイユール,67.8,50.8,33.8,17.0,17.0,17.0,16.8,17.0
20260529,マルターズドン,66.3,49.3,33.0,16.3,17.0,16.3,16.7,16.3
20260529,エアトベーレ,65.3,48.6,32.2,16.0,16.7,16.4,16.2,16.0
20260529,ハイヤーマーク,66.5,48.9,32.2,16.0,17.6,16.7,16.2,16.0
20260529,ワインレッドハート,67.3,49.5,32.1,15.6,17.8,17.4,16.5,15.6
20260529,ジーティーヒラリ,65.8,46.7,30.2,15.1,19.1,16.5,15.1,15.1
20260529,クラウンロムパイア,65.5,47.8,31.2,15.5,17.7,16.6,15.7,15.5
20260529,キチロクタワー,65.5,48.0,31.2,15.6,17.5,16.8,15.6,15.6
20260529,フェリスチカ,68.6,48.4,30.3,14.3,20.2,18.1,16.0,14.3
20260529,ヘインズポイント,67.7,51.6,35.1,17.7,16.1,16.5,17.4,17.7
20260529,ミダース,62.5,45.9,30.3,14.9,16.6,15.6,15.4,14.9
20260529,ウェスケンジントン,59.9,44.7,29.6,14.9,15.2,15.1,14.7,14.9
20260529,コーリンクレア,56.8,41.5,26.2,12.7,15.3,15.3,13.5,12.7
20260529,ブッチギレ,63.3,46.3,30.3,15.0,17.0,16.0,15.3,15.0
20260529,リケアマカロニ,68.2,50.0,32.6,16.6,18.2,17.4,16.0,16.6
20260529,ネイティヴプライド,73.0,54.6,36.2,17.8,18.4,18.4,18.4,17.8
20260529,ジュピターテソーロ,71.5,53.6,35.8,17.8,17.9,17.8,18.0,17.8
20260529,ウキヨノサンシロウ,68.3,50.3,33.2,16.5,18.0,17.1,16.7,16.5
20260529,クレパスキュラー,61.3,44.7,29.4,15.2,16.6,15.3,14.2,15.2
20260529,ラヴァレード,72.8,54.3,36.1,17.9,18.5,18.2,18.2,17.9
20260529,トウカイファクター,65.1,48.2,31.7,15.8,16.9,16.5,15.9,15.8
20260529,トクシーカイザー,61.0,44.3,29.2,14.7,16.7,15.1,14.5,14.7
20260529,クリニクラウン,66.1,48.7,32.0,15.1,17.4,16.7,16.9,15.1
20260529,アデランテ,65.5,48.7,32.0,16.0,16.8,16.7,16.0,16.0
20260529,ゴールデンステップ,65.9,48.7,31.9,15.7,17.2,16.8,16.2,15.7
20260529,プチブール,67.0,49.2,32.2,16.0,17.8,17.0,16.2,16.0
20260529,トーアマリシテン,60.5,43.9,28.8,14.2,16.6,15.1,14.6,14.2
20260529,サンドブラスト,70.3,50.3,32.3,15.4,20.0,18.0,16.9,15.4
20260529,トラストボス,66.8,49.4,32.4,16.1,17.4,17.0,16.3,16.1
20260529,メリザンド,65.7,48.7,32.4,15.5,17.0,16.3,16.9,15.5
20260529,クラウンアバンティ,65.1,48.2,32.0,15.7,16.9,16.2,16.3,15.7
20260529,ファイアリービート,72.4,52.5,34.1,16.5,19.9,18.4,17.6,16.5
20260529,ハイバーニアン,68.9,51.1,33.6,16.6,17.8,17.5,17.0,16.6
20260529,アグネスブリッツ,69.0,51.1,33.1,15.7,17.9,18.0,17.4,15.7
20260529,ブレイブシュガー,66.3,49.3,32.5,16.5,17.0,16.8,16.0,16.5
20260529,ニットウライズ,67.9,49.5,32.8,16.4,18.4,16.7,16.4,16.4
20260529,マンサニージャ,65.8,48.9,32.3,15.6,16.9,16.6,16.7,15.6
20260529,ｺｳｷﾞｮｳﾏｼｪﾘの24,69.1,50.8,33.4,16.6,18.3,17.4,16.8,16.6
20260529,トゥザファイナル,60.8,44.2,29.2,14.6,16.6,15.0,14.6,14.6
20260529,ウインドワンピース,70.0,51.2,32.7,15.9,18.8,18.5,16.8,15.9
20260529,シルトホルン,67.8,50.2,33.5,16.5,17.6,16.7,17.0,16.5
20260529,マイネルケレリウス,67.6,49.6,33.3,16.8,18.0,16.3,16.5,16.8
20260529,ゴールデンオスカー,65.7,47.4,30.2,14.7,18.3,17.2,15.5,14.7
20260529,ゴールドスター,61.2,44.5,29.7,14.8,16.7,14.8,14.9,14.8
20260529,タイセイピューマ,69.4,52.1,34.4,17.0,17.3,17.7,17.4,17.0
20260529,シャオシンユン,62.7,45.8,30.0,15.0,16.9,15.8,15.0,15.0
20260529,スピットブレイク,68.1,50.6,33.4,16.8,17.5,17.2,16.6,16.8
20260529,ロジキセキ,69.4,51.9,34.9,17.2,17.5,17.0,17.7,17.2
20260529,ホウオウバトラー,66.8,49.4,32.2,15.7,17.4,17.2,16.5,15.7
20260529,ホウオウファラオ,62.2,45.2,29.6,14.7,17.0,15.6,14.9,14.7
20260529,ショウナンサイオウ,61.5,44.9,29.5,14.8,16.6,15.4,14.7,14.8
20260529,ヴォートセレスト,62.0,45.3,29.6,14.4,16.7,15.7,15.2,14.4
20260529,キュータンチャン,67.2,50.2,33.0,16.3,17.0,17.2,16.7,16.3
20260529,トモジャシャトー,56.8,41.3,26.5,13.0,15.5,14.8,13.5,13.0
20260529,ビップチェイス,70.8,51.9,35.2,17.4,18.9,16.7,17.8,17.4
20260529,ルシード,71.3,52.6,35.1,17.4,18.7,17.5,17.7,17.4
20260529,サラスヴァティー,66.1,48.9,31.3,15.0,17.2,17.6,16.3,15.0
20260529,ミーントゥビー,75.2,53.5,33.8,16.2,21.7,19.7,17.6,16.2
20260529,スワローシチー,65.0,49.0,30.9,14.2,16.0,18.1,16.7,14.2
20260529,グレイテストソング,68.7,50.4,33.9,17.3,18.3,16.5,16.6,17.3
20260529,ノアレジェンド,56.8,41.3,26.5,13.0,15.5,14.8,13.5,13.0
20260529,ブライトエアリー,67.3,50.4,32.9,16.8,16.9,17.5,16.1,16.8
20260529,ショウナンダイン,65.8,47.7,30.6,14.5,18.1,17.1,16.1,14.5
20260529,ケントン,66.6,49.2,32.5,16.0,17.4,16.7,16.5,16.0
20260529,ルージュフローラ,66.8,49.1,31.4,15.1,17.7,17.7,16.3,15.1
20260529,ナムラコハル,75.4,53.4,33.6,16.2,22.0,19.8,17.4,16.2
20260529,ボーントゥラブユー,64.8,47.4,30.9,15.4,17.4,16.5,15.5,15.4
20260529,リコラピッド,67.2,50.1,32.1,15.6,17.1,18.0,16.5,15.6
20260529,アンディラメナ,68.4,50.5,32.8,16.5,17.9,17.7,16.3,16.5
