場所,クラス,馬券種,回収率,ウェイト,配分額,レース数/年,年間投資,年間払戻
東京,Ｇ１,馬連,144.0,0.1069,1000,8.0,8000.0,11520.0
東京,Ｇ１,複勝,130.9,0.0972,900,8.0,7200.0,9424.8
東京,Ｇ２,三連複,223.5,0.4552,4500,8.3,37350.0,83477.25
東京,Ｇ２,三連単,141.9,0.289,2800,8.3,23240.000000000004,32977.560000000005
東京,Ｇ２,複勝,125.6,0.2558,2500,8.3,20750.0,26062.0
東京,Ｇ３,複勝,116.0,1.0,10000,10.3,103000.0,119480.0
東京,ｵｰﾌﾟﾝ,三連複,395.7,0.3914,3900,17.4,67860.0,268522.02
東京,ｵｰﾌﾟﾝ,三連単,368.1,0.3641,3600,17.4,62639.99999999999,230577.84
東京,ｵｰﾌﾟﾝ,馬連,139.9,0.1384,1300,17.4,22619.999999999996,31645.379999999994
東京,ｵｰﾌﾟﾝ,複勝,107.3,0.1061,1000,17.4,17400.0,18670.2
福島,1000万,三連複,179.4,0.6405,6400,11.5,73600.0,132038.4
福島,1000万,複勝,100.7,0.3595,3500,11.5,40250.0,40531.75
福島,1600万,三連複,194.4,0.6219,6200,2.5,15500.0,30132.0
福島,1600万,馬連,118.2,0.3781,3700,2.5,9250.0,10933.5
福島,1勝,馬連,118.0,0.5191,5100,27.1,138210.0,163087.8
福島,1勝,三連複,109.3,0.4809,4800,27.1,130080.0,142177.44
福島,2勝,馬連,118.5,0.5379,5300,7.7,40810.0,48359.85
福島,2勝,三連複,101.8,0.4621,4600,7.7,35420.0,36057.56
福島,3勝,三連単,144.6,0.3653,3600,3.3,11880.0,17178.48
福島,3勝,馬連,131.5,0.3322,3300,3.3,10890.0,14320.35
福島,3勝,三連複,119.7,0.3024,3000,3.3,9900.0,11850.3
福島,500万,三連単,308.2,0.4071,4000,63.5,254000.0,782828.0
福島,500万,三連複,216.0,0.2853,2800,63.5,177800.0,384048.0
福島,500万,馬連,129.6,0.1712,1700,63.5,107950.0,139903.2
福島,500万,複勝,103.3,0.1364,1300,63.5,82550.0,85274.15
福島,新馬,三連複,725.4,0.4396,4300,16.0,68800.0,499075.2
福島,新馬,三連単,590.4,0.3578,3500,16.0,56000.0,330624.0
